"An error occurred while saving your discount. Please fill in all fields";"Si è verificato un errore durante il salvataggio dello sconto. Si prega di compilare tutti i campi"
"Are you sure you want to use this discount?";"Sei sicuro di voler utilizzare questo sconto?"
"Closed discounts";"Sconti chiusi"
"Create a new discount";"Creare nuovo sconto"
"Delete this discount?";"Eliminare questo sconto?"
"Discount successfully deleted";"Sconto eliminato correttamente"
"Discount successfully saved";"Sconto salvato correttamente"
"Do you want to use this coupon?";"Vuoi usare questo coupon?"
"Generate QRCode";"Genera qr code"
"On";"Accendi"
"Please select an end date greater than the current date.";"Seleziona una data posteriore a quella di oggi"
"This discount is now used";"Questo sconto è ora utilizzato"
"Valid Until";"Valido fino al"
"Valid until";"Valido fino al"
"You have already use this discount";"Hai già usato questo sconto"
"You must be logged in to use a discount";"Devi essere registrato per usare uno sconto"
"or illimited";"o illimitato"
"use only once";"usa solo una volta"
"you'll be able to remove this promotion later";"sarete in grado di rimuovere questa promozione più tardi"
