"<strong>%s</strong> must be a numerical value<br />";"Το πεδίο <strong>%s</strong> πρέπει να έχει αριθμούς<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"Το πεδίο <strong>%s</strong> πρέπει να είναι μία έγκυρη ημ/νία (π.χ. ηη/ΜΜ/ΕΕΕΕ)<br />"
"<strong>%s</strong> must be a valid date<br />";"Το πεδίο <strong>%s</strong> πρέπει να είναι μία έγκυρη ημ/νία<br />"
"<strong>%s</strong> must be a valid email address<br />";"Το πεδίο <strong>%s</strong> πρέπει να είναι ένα έγκυρο E-mail<br />"
"<strong>%s</strong> must be filled<br />";"Το πεδίο <strong>%s</strong> πρέπει να συμπληρωθεί<br />"
"Add a field";"Προσθήκη πεδίου"
"Add a section";"Προσθήκη ενότητας"
"Add an option";"Προσθήκη επιλογής"
"An error occurred while saving. A field can't be identified.";"Υπήρξε σφάλμα κατά την αποθήκευση. Κάθε πεδίο πρέπει να είναι προσδιορισμένο."
"Are you sure you want to remove this field?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτό το πεδίο?"
"Are you sure you want to remove this section?";"Είστε σίγουροι ότι θέλετε να διαγράψετε αυτή την ενότητα?"
Checkbox;"Κουτάκι επιλογής"
"Choose a field type:";"Επιλογή τύπου πεδίου:"
"Create a new field";"Δημιουργία νέου πεδίου"
Date/Hour;"Ημ/νία / ώρα"
"Drop down";"Λίστα επιλογής"
"Edit field %s";"Επεξεργασία πεδίου %s"
"Field name";"Όνομα πεδίου"
"Field name:";"Όνομα πεδίου:"
Geolocation;Geolocation
Hello,;"Γειά σας,"
"Manage fields";"Διαχείριση πεδίων"
"Manage options:";"Διαχείριση επιλογών:"
"Multiline text";"Πεδίο κειμένου πολλαπλών γραμμών"
Option;Επιλογή
Radio;Radio
"Recipient email:";"E-mail παραλήπτη:"
"The form has been sent successfully";"Το μήνυμά σας εστάλει επιτυχώς"
"You have to choose a field type.";"Πρέπει να επιλέξετε έναν τύπο πεδίου."
"Your app's form";"Φόρμα Επικοινωνίας από App"
"Your form has been filled out, here are the answers:";"Η φόρμα σας συμπληρώθηκε επιτυχώς, δείτε τις απαντήσεις:"
