"Add a link";"Link hinzufügen"
"An error occurred while saving your picto. Please try againg later.";"Fehler beim Speichern Ihrer Picto. Bitte versuchen Sie später Againg."
"Are you sure you want to delete this link?";"Sind Sie sicher, dass Sie diesen Link löschen möchten ?"
"Are you sure you want to delete this picture?";"Bist du sicher, dass Sie dieses Bild löschen möchten?"
Informations;Informationen
Link;Link
"Link has been successfully deleted";"Die Verbindung wurde erfolgreich gelöscht"
"Link has been successfully saved";"Die Verbindung wurde erfolgreich gespeichert"
Link:;Link:
Picto;Picto
"The image has been successfully deleted";"Das Bild wurde gelöscht"
"The image has been successfully saved";"Das Bild wurde erfolgreich gespeichert"
"Your links";"Ihre Links"
