"Booking details";"Πληροφορίες κράτησης"
"Booking details:";"Πληροφορίες κράτησης:"
"Booking subject:";"Θέμα Κράτησης:"
"Comment:";"Σχόλιο:"
"Date and time";"Ημερομηνία και ώρα"
"Date and time:";"Ημερομηνία και ώρα:"
"Email address:";"E-mail:"
"Enter the location name and contact email:";"Πληκτρολογήστε το όνομα τοποθεσίας και το E-mail σας:"
"First name / Last name";"Όνοματεπώνυμο"
"Here are his personal information:";"Εδώ είναι τα στοιχεία του:"
"Name:";"Όνομα:"
"Nom du lieu :";"Όνομα τοποθεσίας :"
"People number:";"Αριθμός ανθρώπων:"
"Phone number:";"Τηλέφωνο:"
"Please fill out the following fields: ";"Παρακαλώ συμπληρώστε τα παρακάτω πεδία:"
"Please fill out the following fields:<br />";"Παρακαλώ συμπληρώστε τα παρακάτω πεδία:<br />"
"Please, choose a store";"Παρακαλώ, επιλέξτε ένα κατάστημα"
"Thank you for your request. We'll answer you as soon as possible.";"Σας ευχαριστούμε για το αίτημά σας. Θα σας απαντήσουμε το συντομότερο δυνατόν."
"The booking information";"Πληροφορίες κράτησης"
"The booking informations";"Πληροφορίες κράτησης"
"The date and time of the booking";"Η ημερομηνία και ώρα της κράτησης"
"The number of people";"Αριθμός ατόμων"
"You have received a message for the booking of";"Έχετε λάβει ένα μήνυμα για την κράτηση του"
"Your phone number or email address";"Το τηλέφωνο ή το E-mail σας"
