Modules;Módulos
"Upload a module";"Cargar un módulo"
"Select a module to upload";"Seleccionar un módulo"
"Module Installation";"Instalación del módulo"
"Processing the installation";"Proceso de instalación"
"Please wait, we're installing your module";"Por favor espere, estamos instalando su módulo"
"This process may take few minutes, please do not refresh the page";"Este proceso puede tardar unos minutos, por favor no actualice la página"
"The installation of the module %s has failed: <span id=""installation_failed_because""></span>";"La instalación del módulo %s ha fallado: <span id=""installation_failed_because""></span>"
"No module to install";"Ningún módulo para instalar"
"All of your modules are up to date";"Todos los módulos están al día"
"Please, enter a name";"Por favor, introduzca su nombre"
"The database connection failed. Please, check the entered information.";"La conexión de la base de datos ha fallado. Por favor, revise la información introducida."
"The folder %s is not writable. Please fix this issue and try again.";"La carpeta %s no se puede escribir. Por favor, corrija este problema y vuelva a intentarlo."
"Unable to extract the archive.";"No se puede extraer el archivo."
"Unable to open the archive.";"No se puede abrir el archivo."
"The following folders are not writable: <br /> - %s";"Las siguientes carpetas no se pueden escribir: <br /> - %s"
"The folder %s is not writable.";"La carpeta %s no se puede escribir."
