Action;Accion
App Name;Nombre de la App
Client;Cliente
Date;Fecha
Invoice;Factura
Invoice %s;Factura %s
Invoice N°;Factura N°
List of your invoices;Lista de sus facturas
My Invoices;Mis facturas
Order;Pedido
Orders;Pedidos
Paid At;Pagado el
Paid at:;Pagado el:
Price Excl. Tax;Importe Excl. Impuesto
Qty;Cantidad
This feature is not ready yet. Please try again later.;Esta funcionalidad no está lista todavía. Por favor, inténtelo más tarde.
Total Excl. Tax;total  Excl. Impuesto
You don't have any invoices yet;No tiene facturas
