"%s Subscription for %s";"%s Abonnement pour %s"
"<a href=""%s"">Click here</a> to go back to your applications list";"<a href=""%s"">Cliquez ici</a> pour retourner à la liste de vos applications"
"Active";"Actif"
"An error occurred while processing your order. Please, try again later.";"Une erreur est survenue en traitant votre commande. Veuillez essayer ultérieurement."
"An error occurred while saving. Please try again later";"Une erreur est survenue en sauvegardant. Veuillez essayer ultérieurement."
"An error occurred while saving. The selected subscription is not valid.";"Une erreur est survenue en sauvegardant. L'abonnement sélectionné n'est pas valide."
"Are you sure you want to delete this plan?";"Etes-vous sur de vouloir supprimer ce plan ?"
"Billing Address";"Adresse de facturation"
"By checking this box, you agree <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">to our terms and conditions</a>";"En cochant cette case, vous acceptez <a id=""show_tos"" href=""javascript:void(0);"" target=""_blank"" class=""underline"">nos termes et conditions</a>"
"Charged to your client every month";"Facturé à votre client tous les mois"
"Charged to your client every year";"Facturé à votre client tous les ans"
"Charged to your client when placing the order";"Facturé à votre client au passage de la commande"
"Choose the subscription that suits you best:";"Choisissez l'abonnement qui vous convient le mieux"
"Create a new subscription";"Créer un nouvel abonnement"
"Creation";"Création"
"Describe here this plan. Will be displayed on the front end";"Décrivez le plan. Cela sera affiché au client."
"Each price must be entered excluding tax";"Chaque prix doit être entré HT"
"Edit the subscription %s";"Editer l'abonnement"
"Expiration";"Expiration"
"Expiration date";"Date d'expiration"
"Give a name to this plan. Will be displayed on the front end";"Donnez un nom à ce plan. Cela sera affiché au client."
"List of your plans";"Liste de vos plans"
"List of your subscriptions";"Liste de vos abonnements"
"None";"Aucun"
"One-off";"Une seule fois"
"Order's details";"Détails de la commande"
"Payment";"Paiement"
"Payment Option";"Option de paiement"
"Payment secured by <img src=""%s"" width=""100"" title=""Paypal"" />";"Paiement sécurisé par <img src=""%s"" width=""100"" title=""Paypal"" />"
"Please, enter a company";"Veuillez entrer une société"
"Please, enter a country";"Veuillez entrer un pays"
"Please, enter a description.";"Veuillez entrer une description."
"Please, enter a name.";"Veuillez entrer un nom."
"Please, enter an address";"Veuillez entrer une adresse"
"Pricing";"Prix"
"Proceed to payment?";"Procéder au paiement ?"
"Recurring";"Récurrence"
"Setup Fee";"Frais de mise en place"
"Setup fee";"Frais de mise en place"
"Subscription";"Abonnement"
"Subscription successfully saved";"Abonnement enregistré avec succès"
"Subtotal";"Sous-total"
"Thanks!";"Merci !"
"The monthly price is not a valid price (e.g. 12.34)";"Le prix mensuel n'est pas un prix valide (e.g. 12,34)"
"The setup fee is not a valid price (e.g. 12.34)";"Les frais de mise en place ne sont pas un prix valide (e.g. 12,34)"
"The yearly price is not a valid price (e.g. 12.34)";"Le prix annuel n'est pas un prix valide (e.g. 12,34)"
"This subscription is active";"L'abonnement est actif"
"An error occurred while processing the payment. For more information, please feel free to contact us.";"Une erreur est survenue lors du traitement de votre paiement. Pour plus d'information, merci de contacter notre service."
"VAT Number";"Numéro de TVA"
"You already have a subscription for this application";"Vous avez déjà un abonnement pour cette application"
"You don't have any subscriptions yet";"Vous n'avez pas encore d'abonnement"
"You're almost done! After subscribing, we will publish your application on both the AppStore and the Google Play.";"Vous avez presque terminé ! Après vous être abonné, nous publierons votre application sur les stores d'Apple et de Google."
"Your VAT Number is not valid";"Votre numéro de TVA n'est pas valide"
"Your order has been canceled. If you need any help to place your order, please feel free to contact us.";"Votre commande a été annulée. Si vous avez besoin d'aide pour passer votre commande, n'hésitez pas à nous contacter."
"Your order has been successfully paid. Your application will be published very soon.";"Votre commande a été payée avec succès. Votre application va être publiée très vite."
"Your subscription must have at least one price";"Votre abonnement doit avoir au moins un prix."
"price";"Prix"
