" is now yours!";": σας ανήκει!"
"%d validated points = ";"%d επικυρωμένοι πόντοι ="
"1 loyalty point =";"1 πόντος πίστεως ="
"1 point";"1 πόντος"
"1 validated point = ";"1 επικυρωμένος πόντος ="
"An error occurred while saving the password. Please try again later";"Υπήρξε σφάλμα κατά την αποθήκευση του Κωδικού. Παρακαλούμε δοκιμάστε ξανά αργότερα"
"An error occurred while saving the password. Please try again later.";"Υπήρξε σφάλμα κατά την αποθήκευση του Κωδικού. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"An error occurred while saving your loyalty card.";"Υπήρξε σφάλμα κατά την αποθήκευση της Κάρτας Πίστεως."
"An error occurred while saving your loyalty card. Please fill all fields in.";"Υπήρξε σφάλμα κατά την αποθήκευση της Κάρτας Πίστεως. Παρακαλούμε συμληρώστε όλα τα πεδία."
"An error occurred while validating point. Please try again later.";"Υπήρξε σφάλμα κατά την επικύρωση των πόντων. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"Card name";"Όνομα κάρτας"
"Congratulations";"Συγχαρητήρια"
"Current card";"Τρέχουσα Κάρτα"
"Delete this password?";"Διαγραφή του Κωδικού?"
"Employee's name";"Όνομα συνεργάτη"
"Employee's name:";"Όνομα συνεργάτη:"
"Employee's password";"Κωδικός συνεργάτη"
"Employee's password:";"Κωδικός συνεργάτη:"
"Enter the password";"Συμπληρώστε τον Κωδικό"
"My new loyalty card";"Η νέα Κάρτα Πίστεώς μου"
"My passwords";"Οι κωδικοί μου"
"Number of points";"Αριθμός πόντων"
"Please enter a name";"Παρακαλούμε συμπληρώστε ένα Όνομα"
"Please enter the password";"Παρακαλούμε συμπληρώστε τον Κωδικό"
"Please show your phone to the store person so that he enters his password";"Παρακαλούμε δείξτε το τηλέφωνό σας στον συνεργάτη μας, για να συμπληρώσει τον Κωδικό"
"Point%s successfully validated";"Οι πόντοι επικυρώθηκαν επιτυχώς"
"Previous cards";"Προηγούμενες Κάρτες"
"Reward";"Αμοιβή"
"We are sorry but this card is temporarily blocked";"Συγνώμη αλλά αυτή η Κάρτα είναι προσωρινά μπλοκαρισμένη"
"Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point";"Λάθος κωδικός. Προσοχή!! Απομένουν %d προσπάθειες πριν κλειδωθεί η Κάρτα σας. Ζητήστε από τον συνεργάτη να επικυρώσει τους πόντους σας"
"Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point";"Λάθος κωδικός. <br />Προσοχή!! Απομένουν %d προσπάθειες πριν κλειδωθεί η Κάρτα σας.<br />Ζητήστε από τον συνεργάτη να επικυρώσει τους πόντους σας"
"You have exceeded the number of attempts to validate points. Your card is locked for 24h";"Έχετε υπερβεί τον αριθμό προσπαθειών για την επικύρωση πόντων. Η Κάρτα σας έχει κλειδωθεί για 24 ώρες"
"You just finished your card";"Μόλις ολοκληρώσατε την Κάρτα σας"
"You must be logged in to validate points";"Πρέπει να είστε συνδεδεμένοι για να επικυρώσετε πόντους"
"Your loyalty card has been saved successfully";"Η Κάρτα Πίστεώς σας αποθηκεύτηκε επιτυχώς"
"Your password must be 4 digits";"Ο κωδικός σας πρέπει να αποτελείται από 4 ψηφία"
"point";"πόντος"
"point to validate";"πόντος για επικύρωση"
"points to validate";"πόντοι για επικύρωση"
"validated points = ";"επικυρωμένοι πόντοι ="
