"Lock the entire application?";"Заблокировать всё приложение?"
"Choose the features to lock:";"Выберите функции, которые нужно заблокировать:"
"Restrict Access";"Ограничение доступа"
"Allow all the users by default:";"Разрешить всем пользователям:"
"the gender";"пол"
"the first name";"имя"
"the last name";"фамилия"
"the email address";"адрес электронной почты"
"the password";"пароль"
"Access restricted to authorized members only";"Доступ ограничен, только для авторизованных подписчиков"
"We are sorry but your account does not have enough permissions to access this page";"Мы сожалеем, но ваша учетная запись не имеет достаточных прав для доступа к этой странице"
