"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>文件类型:</b> %s<br /><b>推荐大小:</b> %s"
"Click here to send your favicon";"点击这里给你的图标"
"Click here to send your logo";"点击这里提交您的徽标"
"Communications";"通讯"
"Current favicon";"目前的网站图标"
"Current logo";"当前徽标"
"Display a link to your clients to your support platform";"显示一个链接到其客户的平台支持"
"Drop your favicon here";"留下您的图标点击这里"
"Drop your logo here";"留下您的徽标在这里"
"Sales";"销售"
"Sales Email Address";"销售电子邮件地址"
"Sender's email address of the emails sent by the site to your clients";"电子邮件由站点为其客户发送的发送者的电子邮件地址"
"Sender's name of the emails sent by the site to your clients";"电子邮件由站点为其客户发送的发送者的名称"
"Support Email Address";"支持E- mail支持"
"The folder /images/default is not writable.";"文件夹/图像/默认情况下是不可修改的。"
"Your Location";"您现在的位置"
"Your Platform";"您的平台"
"Your company";"贵公司"
