"Edit the product";"Editar producto"
Category;Categoría
Picture;imagen
"Product formats";"Formato del producto"
Format;Formato
"Add a format";"Añadir un formato"
"Edit the";"Edite el"
"Add a";"Añadir una"
st;ero
nd;ndo
All;Todas
"Create a new product";"Crear un nuevo producto"
"Product name";"Nombre del producto"
Price;Precio
sub-category;Subcategoría
"Click on a category to display sub-categories";"Haga clic en una categoría para ver las subcategorías"
"Add a category";"Agregar una categoría"
Product;Producto
Sub-category;Subcategoría
Rules;Reglas
en;es
"Does this product have many formats?";"¿Este producto tiene varios formatos?"
"Choose a category";"Elija una categoría"
"Choose a subcategory";"Seleccione una subcategoría"
"Main category";"Categoría principal"
More;"Más información"
Qty;Cantidad
"Add to cart";"Añadir al carrito"
"<span id=""price_from_%s"">From:<br /></span><span id=""current_price_%s"">%s</span>";"<span id=""price_from_%s""> Desde: <br /></span><span id=""current_price_%s"">%s</span>"
"An error occurred while saving the category. Please try again later.";"Se ha producido un error al guardar la categoría. Por favor inténtelo de nuevo más tarde."
"An error occurred while saving. One of your categories could not be identified.";"Se ha producido un error al guardar. Una de sus categorías no pudo ser identificada."
"Set meal successfully saved.";"Menú guardado correctamente."
"Set meal successfully deleted.";"Menú eliminado correctamente."
"An error occurred while saving the set meal. Please try again later.";"Se ha producido un error al guardar el menú. Por favor inténtelo de nuevo más tarde."
"An error occurred while loading your product.";"Se ha producido un error al cargar el producto."
"An error occurred while saving the product. Please try again later.";"Se ha producido un error al guardar el producto. Por favor inténtelo de nuevo más tarde."
"An error occurred while saving. One of your products could not be identified.";"Se ha producido un error al guardar. Uno de sus productos no pudo ser identificado."
