"<b>File types:</b> %s<br /><b>Recommended size:</b> %s";"<b>Tipus d'arxiu:</b> %s < br / > <b>mida recomanada:</b> %s"
"Click here to send your favicon";"Feu clic aquí per enviar el seu favicon"
"Click here to send your logo";"Feu clic aquí per enviar el seu logo"
"Communications";"Comunicacions"
"Current favicon";"Favicon actual"
"Current logo";"Logotip actual"
"Display a link to your clients to your support platform";"Mostrar un enllaç als seus clients a la seva plataforma de suport"
"Drop your favicon here";"Deixar caure el seu favicon aquí"
"Drop your logo here";"Deixar caure el seu logo aquí"
"Sales";"Vendes"
"Sales Email Address";"Adreça d'E-mail vendes"
"Sender's email address of the emails sent by the site to your clients";"Adreça de correu electrònic del remitent dels correus electrònics enviats pel lloc als seus clients"
"Sender's name of the emails sent by the site to your clients";"Nom del remitent dels correus electrònics enviats pel lloc als seus clients"
"Support Email Address";"Adreça de correu electrònic de suport"
"The folder /images/default is not writable.";"No es pugui escriure a la carpeta /images/default."
"Your Location";"Seva localització"
"Your Platform";"Vostra plataforma"
"Your company";"Seva empresa"
