"Booking details";"Детали бронирования"
"Booking details:";"Детали бронирования:"
"Booking subject:";"Объект бронирования:"
"Comment:";"Комментарий:"
"Date and time";"Дата и время"
"Date and time:";"Дата и время:"
"Email address:";"Адрес электронной почты:"
"Enter the location name and contact email:";"Введите название месторасположения и контактный адрес электронной почты:"
"First name / Last name";"Имя / Фамилия"
"Here are his personal information:";"Вот его личные данные:"
"Name:";"Имя:"
"Nom du lieu :";"Наименование расположения"
"People number:";"Количество людей:"
"Phone number:";"Номер телефона:"
"Please fill out the following fields: ";"Пожалуйста, заполните следующие поля:"
"Please fill out the following fields:<br />";"Пожалуйста, заполните следующие поля: <br />"
"Please, choose a store";"Пожалуйста, выберите магазин"
"Thank you for your request. We'll answer you as soon as possible.";"Спасибо за ваш запрос. Мы ответим вам как можно скорее."
"The booking information";"Информация о бронировании"
"The booking informations";"Информация по бронированию"
"The date and time of the booking";"Дата и время заказа"
"The number of people";"Количество людей"
"You have received a message for the booking of";"Вы получили сообщение для бронирования"
"Your phone number or email address";"Ваш номер телефона или адрес электронной почты"
