Lock the entire application?;Bloquear o aplicativo inteiro?
Choose the features to lock:;Escolha os recursos para bloquear:
Restrict Access;Acesso Restrito
Allow all the users by default:;Permitir todos os usuários por padrão:
the gender;Sexo
the first name;Nome
the last name;Sobrenome
the email address;Endereço de e-mail
the password;senha
Access restricted to authorized members only;Acesso restrito a membros autorizados apenas
We are sorry but your account does not have enough permissions to access this page;Lamentamos, mas a sua conta não tem permissões suficientes para acessar este recurso.
