"%s - Your new password";"%s - Ihr neues Passwort"
"A request to reset your password has been made to log in to your administration panel.";"Eine Anforderung zum Zurücksetzen Ihres Passworts erzielt worden, sich in Ihre Administrations-Bereich einloggen."
"Admin successfully deleted";"Admin gelöscht"
"An error occurred while saving your account. Please try again later.";"Beim Speichern Ihres Kontos ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"An error occurred while saving. The country is not valid.";"Fehler beim Speichern. Das Land ist nicht gültig."
"Are you sure you want to delete this application?";"Bist du sicher, dass Sie diese Anwendung löschen möchten?"
"Can add pages";"Können Seiten hinzufügen"
"Change my password";"Mein Passwort ändern"
"Confirm new password";"Neues Passwort bestätigen"
"Confirm your password";"Passwort bestätigen"
"Create a new application";"Erstellen einer neuen Anwendung"
"Create a new user";"Einen neuen Benutzer erstellen"
"Created At";"Erstellt am"
"Created at %s";"Erstellt am %s"
"Current password";"Aktuelles Passwort"
Details;"Details "
"Do not hesitate to give us your feedback by sharing your needs:";"Zögern Sie nicht, uns Ihr Feedback zu geben, durch den Austausch von Ihren Bedürfnissen:"
"Edit the account ""%s""";"Bearbeiten Sie das Konto ""%s"""
"Edit the user %s";"Bearbeiten des Benutzers %s"
Enjoy!;"Genießen Sie!"
"Enter your credentials:";"Geben Sie Ihre Zugangsdaten ein:"
"Find some advices here:";"Finden Sie hier einige Ratschläge:"
"Forgot your password ?";"Passwort vergessen?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Passwort vergessen? Machen Sie sich keine Sorgen! Geben Sie hier einfach Ihre E-Mail-Adresse ein und Sie erhalten ein neues passwort."
"Here are your credentials, keep them preciously:";"Hier sind Ihre Anmeldedaten, halten sie kostbar:"
"List of admin accounts";"Liste der Administratorkonten"
"List of my accounts";"Liste meiner Konten"
"List of your users";"Liste der Benutzer"
"Log in";einloggen
"Log-in As";"Einloggen als"
"Login to your admin interface";"Anmeldung zu Ihrem Admin-Interface"
"Manage access";"Verwalten des Zugriffs"
"Mark as read";"Als gelesen markieren"
"Mark as unread";"Als ungelesen markieren "
"My Applications";"Meine Anwendungen"
"My account";"Mein Konto"
"My information";"Meine Informationen"
"My informations";"Meine Informationen"
"My notifications";"Meine Benachrichtigungen"
"My notifications list";"Meine Benachrichtigungen Liste "
"Need some help?";"Brauchen Sie Hilfe?"
Notifications;"Benachrichtigungen "
"Please enter a valid email address.";"Bitte geben Sie eine gültige e-Mail-Adresse."
"Please, enter an application name";"Bitte geben Sie den Namen einer Anwendung"
"Ready to create your own apps?";"Bereit, Ihre eigenen apps zu erstellen?"
"Required fields";"Erforderliche Felder"
Send;senden
"Sign up";Anmelden
"Thanks for choosing us!";"Danke, dass du uns die Wahl!"
"The Support Team";"Das Support-Team"
"The password and the confirmation does not match.";"Das Kennwort und die Bestätigung stimmt nicht überein."
"The password must be at least 6 characters.";"Das Passwort muss mindestens 6 Zeichen lang sein."
"We are sorry but this email address is already used.";"Es tut uns leid, aber diese e-Mail-Adresse wird bereits verwendet."
Welcome!;"Herzlich Willkommen!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Du wirst es lieben! Dank unserer effektiven Funktionen werden Sie in der Lage, große mobile Anwendungen in Ihrem Namen innerhalb von Minuten zu erstellen."
"You can't delete the main account";"Die Haupt-Account kann nicht gelöscht werden."
"You don't have any users yet";"Sie haben alle Benutzer noch nicht"
"Your account has been successfully saved";"Ihr Konto wurde erfolgreich gespeichert"
"Your credentials";"Ihre Anmeldeinformationen"
"Your email address";"Ihre E-Mail-Adresse"
"Your login:";"Ihr Login:"
"Your password";"Ihr Passwort"
"Your password:";"Ihr Passwort:"
