"My informations";"Mis informaciones"
"Change my password";"Cambiar mi contraseña"
"Current password";"Contraseña actual"
"Confirm new password";"Confirmar nueva contraseña"
"Required fields";"Campos necesarios"
"Enter your credentials:";"Ingrese su cuenta :"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"¿Ha olvidado su contraseña? No se preocupe, introduzca su dirección de correo electrónico y le reenviaremos una directamente."
"Forgot your password ?";"¿Olvidó tu contraseña?"
"Log in";"Iniciar sesión"
Send;enviar
"Login to your admin interface";"Conexión a su panel de administración"
"Your email address";"Su dirección de correo electrónico"
"Your password";"Su contraseña"
Notifications;Notificaciones
"My notifications list";"Mi lista de notificaciones"
Details;Detalles
"Mark as unread";"Marcar como no leído"
"Mark as read";"Marcar como leído"
"An error occurred while saving your account. Please try again later.";"Se ha producido un error al guardar la cuenta. Por favor inténtelo de nuevo más tarde."
"Your account has been successfully saved";"Su cuenta ha sido guardada con éxito"
"Login to your admin interface";"Conexión a su panel de administración"
"My account";"Mi cuenta"
"My notifications";"Mis notificaciones"
"API Keys";"Claves API"
"Your APIs list";"Su lista de APIs"Analytics;Analítica
"My application in figures";"Mi aplicación en cifras"
"Installed application";"Aplicación instalada"
times;veces
"Global visits";"Total de Visitas"
"Your customers in figures";"Sus clientes en cifras"
"Used points";"Puntos consumidos"
"Average by customer";"Promedio por cliente"
"Percentage of returning customers";"Porcentaje de clientes leales"
"Your best customers";"Sus mejores clientes"
"Choose your colors";"Elija sus colores"
"Choose your icons color";"Elija el color de icono"
"Change your";"Modificar su"
"Use into all of your application's pages";"Utilizar en todas las páginas de la aplicación"
"Choose your template";"Elija su plantilla"
"Change your template";"Cambie su plantilla"
"Choose your homepage image";"Elija la imagen de su página principal"
"Choose your layout";"Elija su presentación"
"Choose your font style";"Elija estilo de fuente"
"Choose a font family";"Seleccione una fuente"
"This option enables you to set the currency used in your app";"Esta opción le permite establecer la moneda utilizada en su app"
"Choose your country";"Seleccione su país"
"Choose a country";"Seleccionar un país"
"You haven't chosen any template yet";"No ha seleccionado una plantilla"
"If you validate, your app's colors and background image will be replaced";"Si usted lo acepta, se reemplazarán la imagen de fondo y los colores de su aplicación"
Design;Diseño
"This page will be displayed to mobile users to enable them to login and manage their account. It is automatically added when you use features which need user login.";"Esta página se mostrará a los usuarios móviles para que puedan acceder y administrar su cuenta. Se añade automáticamente al utilizar funciones que requieren al usuario haya iniciado sesión."
"Your pages";"Sus páginas"
"Add pages";"Añadir páginas"
"Delete this page?";"¿Desea eliminar esta página?"
"An error occurred while loading";"Se ha producido un error al cargar"
"You must have published your application to access this feature";"Debe publicar la aplicación para acceder a esta función"
Main;Principal
" ""Remove this page from this folder?""";"¿Esta seguro que desea eliminar la pagina de esta carpeta?"
"to add a subfolder.";"Añadir una subcarpeta."
Information;Información
Editor;Editor
Promote;Promocionar
Features;Funciones
Publication;Publicación
Colors;Colores
"Homepage preview";"Vista previa"
"Startup image";"Imagen de inicio"
"Choose an";"Elija una"
"Choose a <br /><span class=""bold"">picture</span>";"Elija una <br /> <span class=""bold""> imagen </span >"
"Dashboard icon";icono
"General information";"Información general"
"Mobile source codes";"Códigos fuente móvil"
"To be able to download source codes, please provide the following information:<br />";"Para poder descargar el código fuente, deberá proporcionar la siguiente información: <br/>"
"Click here to download the source code:";"Clic aquí para descargar el código fuente"
"iPhone Version";"Versión iPhone"
"Android Version";"Versión Android"
Download;Descargar
"My QRCode";"Mi código QR"
"You can download your QRCode by";"Puede descargar el código QR"
"clicking here";"Haga clic aquí"
"Mobile website information";"Información del sitio web móvil"
"Domain name";"Nombre de dominio"
