"An error occurred while saving your contact informations.";"Υπήρξε σφάλμα κατά την αποθήκευση των πληροφοριών επικοινωνίας."
"An error occurred while sending your request. Please try again later.";"Υπήρξε σφάλμα κατά την αποστολή του μηνύματός σας. Παρακαλούμε δοκιμάστε ξανά αργότερα."
"And his phone number:";Αριθμός:
"Are you sure you want to remove the picture?";"Είστε σίγουροι ότι θέλετε να αφαιρέσετε την εικόνα?"
City;Πόλη
"Contact information";"Πληροφορίες επαφής"
"Contact informations";"Πληροφορίες επαφής"
"Here is his email:";E-mail:
"Here is his message:";Μήνυμα:
"Please enter properly the following fields: <br />";"Παρακαλούμε συμπληρώστε σωστά τα πεδία: <br />"
Twitter;Twitter
Website;Ιστοσελίδα
"You have received a message from a contact:";"Η εφαρμογή σας, σάς έστειλε ένα μήνυμα από:"
"Your email";E-mail
"Your message has been sent";"Το μήνυμά σας εστάλει επιτυχώς"
"Your request";"Το μήνυμά σας"
"Zip code";Τ.Κ.
