Action;Actie
App Name;App Naam
Client;Klant
Date;Datum
Invoice;Factuur
Invoice %s;Factuur %s
Invoice N°;Factuur N°
List of your invoices;Lijst van uw facturen
My Invoices;Mijn Facturen
Order;Opdracht
Orders;Bestellingen
Paid At;Betaald op
Paid at:;Betaald op:
Price Excl. Tax;Prijs excl. BTW
Qty;Aantal
This feature is not ready yet. Please try again later.;Deze functie is nog niet beschikbaar. Probeer het later opnieuw.
Total Excl. Tax;Totaal Excl. BTW
You don't have any invoices yet;U heeft nog geen facturen
