"%s - Your new password";"%s - Vaše nové heslo"
"A request to reset your password has been made to log in to your administration panel.";"Žádost o resetování hesla pro přihlášení do administračního panelu byla provedena."
"Admin successfully deleted";"Správce úspěšně smazán"
"An error occurred while saving. The country is not valid.";"Při ukládání došlo k chybě. Země není platná."
"Are you sure you want to delete this application?";"Jste si jisti, že chcete smazat tuto aplikaci?"
"Can add pages";"Uživatel může přidávat stránky"
"Change my password";"Změnit heslo"
"Confirm your password";"Potvrďte heslo"
"Create a new application";"Vytvořit novou aplikaci"
"Create a new user";"Vytvořit nového uživatele"
"Created At";Vytvořeno
"Created at %s";"Vytvořeno %s"
"Do not hesitate to give us your feedback by sharing your needs:";"Neváhejte nám zaslat Váš názor či žádost o radu:"
"Edit the account ""%s""";"Upravit účet ""%s"""
"Edit the user %s";"Upravit uživatele %s"
Enjoy!;"S pozdravem"
"Find some advices here:";"Zde najdete užitečné rady:"
"Here are your credentials, keep them preciously:";"Zde jsou Vaše přihlašovací údaje:"
"List of admin accounts";"Seznam admin účtů"
"List of my accounts";"Seznam mých účtů"
"List of your users";"Seznam uživatelů"
"Log-in As";"Přihlásit jako uživatel"
"Manage access";"Správa přístupu"
"My Applications";"Moje aplikace"
"My information";"Můj účet"
"Need some help?";"Potřebujete pomoc?"
"Please enter a valid email address.";"Zadejte prosím platnou e-mailovou adresu."
"Please, enter an application name";"Prosím, zadejte název aplikace"
"Ready to create your own apps?";"Jste připraveni vytvořit si vlasní mobilní aplikaci?"
"Sign up";"Zaregistrujte se"
"Thanks for choosing us!";"VÁŠ ÚČET BYL VYTVOŘEN! Děkujeme, že jste si vybrali unikátní platformu pro výrobu mobilních aplikací od společnosti apptime.cz!"
"The Support Team";"Tým apptime.cz"
"The password and the confirmation does not match.";"Heslo a potvrzení hesla se neshodují!"
"The password must be at least 6 characters.";"Heslo musí být alespoň 6 znaků"
"We are sorry but this email address is already used.";"Je nám líto, ale tato e-mailová adresa je již používána."
Welcome!;"Vítejte v apptime.cz!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Naše platforma se Vám bude opravdu líbit! Díky velkému množství funkcí/modulů lze vytvořit úžasné mobilní aplikace pro každý druh podnikání.  "
"You can't delete the main account";"Hlavní účet nelze odstranit"
"You don't have any users yet";"Zatím nemáte žádné uživatele"
"Your credentials";"Vaše přihlašovací údaje"
"Your login:";"Váš přihlašovací email:"
"Your password:";"Vaše heslo:"
"﻿%s - Your new password";"%s - Vaše nové heslo"
"API Keys";"API klíče"
"Api Keys";"API klíče"
"Api Keys successfully saved";"API klíč úspěšně uložen"
"﻿API Keys";"API klíče"
"1. Download the app previewer:";"1. Stáhněte si testovací prohlížeč:"
"2. Open the app and login";"2. Otevřete aplikaci a přihlašte se:"
"<b>File type:</b> %s";"<b>Typ souboru:</b>%s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Klikněte ZDE</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span> k přidání položky.</span>"
Activated;Aktivováno
"Add a new icon";"Přidat novou ikonu"
"Add pages";"Přidat stránku (modul)"
"Additional options";"Další možnosti"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Při kopírování ikony došlo k chybě. Prosím zkontrolujte ikonu a zkuste to znovu."
"An error occurred during the generation of your QRCode. Please try again later.";"Při vytváření QR kódu došlo k chybě. Zkuste to prosím později."
"An error occurred while adding the option";"Při přidávání došlo k chybě"
"An error occurred while changing your layout.";"Při změně rozvržení došlo k chybě"
"An error occurred while deleting the option";"Při mazání došlo k chybě"
"An error occurred while deleting your picture";"Při mazání obrázku došlo k chybě"
"An error occurred while editing file (%s).";"Při editaci soubor (%s) došlo k chybě"
"An error occurred while loading";"Při načítání došlo k chybě"
"An error occurred while saving the application. Please try again later.";"Při ukládání aplikace došlo k chybě. Zkuste to prosím později"
"An error occurred while saving your colors.";"Při ukládání barev došlo k chybě"
"An error occurred while saving your page name.";"Při ukládání názevu stránky došlo k chybě"
"An error occurred while saving. The selected icon is not valid.";"Při ukládání došlo k chybě. Zvolená ikona není platná"
"An error occurred while sorting your pages. Please try again later.";"Při řazení Vašich stránek došlo k chybě. Zkuste to prosím později"
Analytics;Statistiky
"Android APK Generation";"Android APK generátor"
"Android Version";"Verze pro Android"
"App Store Icon";"Ikona na App Store"
"Apple's Information";"Informace o společnosti Apple"
"Application name";"Název aplikace"
"Are you sure you want to remove this application?";"Jste si jisti, že chcete odstranit tuto aplikaci?"
"At least 200 characters in the description";"V popisu je třeba zadat nejméně 200 znaků!"
"At least, 4 pages in the application";"Je třeba vytvořit alespoň 4 záložky (stránky)"
Audio;Hudba
"Average by customer";Průměr
Book;Rezervovat
"Bundle Id";"Bundle Id"
Business;Business
"Buy one, get one!";"1+1 zdrama"
Catalogs;Katalog
Certificate;Certifikát
"Change your";Změňit
"Change your template";"Změnit šablonu"
"Change your<br /><span>picture</span>";Změňit<br/><span>obrázek</span>
"Checking CNAME configuration:";"Kontrola CNAME konfigurace:"
"Choose a <br /><span class=""bold"">picture</span>";"Vyberte <br/> <span class = ""bold"">obrázek</span>"
"Choose a country";"Zvolte zemi"
"Choose a font family";"Vyberte si rodinu písma"
"Choose a template to customize";"Vyberte šablonu k úpravě"
"Choose your colors";"Zvolte si barvy aplikace"
"Choose your country";"Vyberte svou zemi"
"Choose your design";"Vyberte si design"
"Choose your font style";"Vyberte si styl písma"
"Choose your homepage image";"Vyberte obrázek na pozadí Hlavní stránky"
"Choose your icons color";"Vyberte si barvu ikony"
"Choose your layout";"Vyberte si styl uspořádání záložek"
"Choose your template";"Vyberte si šablonu (pozadí jde poté změnit)"
"Click here to download the source code:";"Klikněte zde pro stažení zdrojového kódu:"
"Click here to send your certificate";"Klikněte zde pro zaslání certifikátu"
Colors;Barvy
"Dashboard icon";"Dashboard ikona"
Deactivated;Neaktivní
"Delete this page?";"Smazat tuto stránku?"
Design;Design
"Developer Accounts";"Účet vývojáře"
"Device Information";"Informace o zařízení"
"Discount zone description. Here your clients will be able to see the details of each discount";"Popis slevy. Zde Vaši klienti mohu vidět podrobnosti o každé slevě."
Domain;Doména
"Domain name";"Název domény"
Download;Stáhnout
"Download our app previewer";"Stáhněte si testovací prohlížeč aplikace"
"Drop your certificate here";"Vložte certifikát"
