"An error occurred while saving your discount. Please fill in all fields";"Une erreur est survenue lors de la sauvegarde de votre promotion. Merci de renseigner tous les champs."
"Are you sure you want to use this discount?";"Etes-vous sur de vouloir utiliser cette réduction ?"
"Closed discounts";"Promotions terminées"
"Create a new discount";"Créer un nouveau coupon"
"Delete this discount?";"Êtes-vous sur de vouloir supprimer cette promotion ?"
"Discount successfully deleted";"Promotion supprimée avec succès"
"Discount successfully saved";"Promotion sauvegardée avec succès"
"Please select an end date greater than the current date.";"Merci de sélectionner une date de fin supérieure à la date actuelle."
"This discount is now used";"Votre réduction est maintenant utilisée"
"Valid until";"Valable jusqu'au"
"You have already use this discount";"Vous avez déjà utilisé cette promotion"
"You must be logged in to use a discount";"Vous devez être connecté pour utiliser une promotion"
"or illimited";"ou illimitée"
"use only once";"utiliser une seule fois"
"you'll be able to remove this promotion later";"vous pourrez supprimer cette promotion plus tard"
