"'Near me' radius (in km):";"'In meiner Nähe' Radius (in km):"
"An error occurred while deleting this answer. Please try again later.";"Beim Löschen dieser Antwort ist ein Fehler aufgetreten. Bitte versuchen Sie es später noch einmal."
"Create a news:";"Erstellen Sie eine Nachricht:"
"Hide this info";"Ausblenden dieser Info"
"Information successfully deleted";"Informationen erfolgreich gelöscht"
"Information successfully hidden";"Informationen erfolgreich ausgeblendet"
"Information successfully saved";"Informationen erfolgreich gespeichert"
"Information successfully showed";"Informationen erfolgreich angezeigt"
"Information successfully shown";"Erfolgreich angezeigten Informationen"
"Insert a";"Legen Sie ein"
"It will be visible only after validation by our team.";"Nach der Freigabe von unserem Team wird es sichtbar sein."
Like;Like
Loading...;"Wird geladen ..."
"My customers answers";"Meine Kunden Antworten"
"My customers' comments";"Meine Kunden Kommentare"
"Near me";"In der Nähe von mir"
"Near me settings";"Benachbarte Einstellungen"
"Nothing more to display";"Nichts mehr zu zeigen"
"Please, enter a comment";"Bitte geben Sie ein Kommentar ein"
Post;Bereitstellen
"Publishing date";Veröffentlichungsdatum
"Pull up to display more";"Ziehen Sie, um mehr Anzeigen"
Radius;RADIUS
"Radius must be a valid numeric value.";"RADIUS muss einen gültigen numerischen Wert sein."
"Radius must be provided.";"RADIUS muss angegeben werden."
Recent;"Den letzten"
"Release to refresh...";"aktualisieren Sie"
"Show this info";"Zeigen Sie diese Infos "
"There is no comment for this news";"Es gibt keinen Kommentar zu diesen News"
"Was flagged as inappropriate";"Wurde als unangemessen markiert"
"You can't like more than once the same news";"Sie können nicht mehr als einmal die gleichen Nachrichten senden."
"You need to be connected to create a post";"Sie müssen verbunden sein, um einen Beitrag zu erstellen"
"Your comment";"Ihr Kommentar"
"Your flag has successfully been notified";"Ihre Flagge worden erfolgreich notifiziert"
"Your like has been successfully added";"Ihr like wurde erfolgreich hinzugefügt."
"Your message has been successfully saved.";"Ihre Nachricht wurde erfolgreich gespeichert."
"Your post was successfully added";"Ihre Nachricht wurde erfolgreich hinzugefügt."
