"1. Download the app previewer:";"1. Stáhněte si testovací prohlížeč:"
"2. Open the app and login";"2. Otevřete aplikaci a přihlašte se:"
"<b>File type:</b> %s";"<b>Typ souboru:</b>%s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<span>Klikněte ZDE</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span> k přidání položky.</span>"
Activated;Aktivováno
"Add a new icon";"Přidat novou ikonu"
"Add pages";"Přidat stránku (modul)"
"Additional options";"Další možnosti"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"Při kopírování ikony došlo k chybě. Prosím zkontrolujte ikonu a zkuste to znovu."
"An error occurred during the generation of your QRCode. Please try again later.";"Při vytváření QR kódu došlo k chybě. Zkuste to prosím později."
"An error occurred while adding the option";"Při přidávání došlo k chybě"
"An error occurred while changing your layout.";"Při změně rozvržení došlo k chybě"
"An error occurred while deleting the option";"Při mazání došlo k chybě"
"An error occurred while deleting your picture";"Při mazání obrázku došlo k chybě"
"An error occurred while editing file (%s).";"Při editaci soubor (%s) došlo k chybě"
"An error occurred while loading";"Při načítání došlo k chybě"
"An error occurred while saving the application. Please try again later.";"Při ukládání aplikace došlo k chybě. Zkuste to prosím později"
"An error occurred while saving your colors.";"Při ukládání barev došlo k chybě"
"An error occurred while saving your page name.";"Při ukládání názevu stránky došlo k chybě"
"An error occurred while saving. The selected icon is not valid.";"Při ukládání došlo k chybě. Zvolená ikona není platná"
"An error occurred while sorting your pages. Please try again later.";"Při řazení Vašich stránek došlo k chybě. Zkuste to prosím později"
Analytics;Statistiky
"Android APK Generation";"Android APK generátor"
"Android Version";"Verze pro Android"
"App Store Icon";"Ikona na App Store"
"Apple's Information";"Informace o společnosti Apple"
"Application name";"Název aplikace"
"Are you sure you want to remove this application?";"Jste si jisti, že chcete odstranit tuto aplikaci?"
"At least 200 characters in the description";"V popisu je třeba zadat nejméně 200 znaků!"
"At least, 4 pages in the application";"Je třeba vytvořit alespoň 4 záložky (stránky)"
Audio;Hudba
"Average by customer";Průměr
Book;Rezervovat
"Bundle Id";"Bundle Id"
Business;Business
"Buy one, get one!";"1+1 zdrama"
Catalogs;Katalog
Certificate;Certifikát
"Change your";Změňit
"Change your template";"Změnit šablonu"
"Change your<br /><span>picture</span>";Změňit<br/><span>obrázek</span>
"Checking CNAME configuration:";"Kontrola CNAME konfigurace:"
"Choose a <br /><span class=""bold"">picture</span>";"Vyberte <br/> <span class = ""bold"">obrázek</span>"
"Choose a country";"Zvolte zemi"
"Choose a font family";"Vyberte si rodinu písma"
"Choose a template to customize";"Vyberte šablonu k úpravě"
"Choose your colors";"Zvolte si barvy aplikace"
"Choose your country";"Vyberte svou zemi"
"Choose your design";"Vyberte si design"
"Choose your font style";"Vyberte si styl písma"
"Choose your homepage image";"Vyberte obrázek na pozadí Hlavní stránky"
"Choose your icons color";"Vyberte si barvu ikony"
"Choose your layout";"Vyberte si styl uspořádání záložek"
"Choose your template";"Vyberte si šablonu (pozadí jde poté změnit)"
"Click here to download the source code:";"Klikněte zde pro stažení zdrojového kódu:"
"Click here to send your certificate";"Klikněte zde pro zaslání certifikátu"
Colors;Barvy
"Dashboard icon";"Dashboard ikona"
Deactivated;Neaktivní
"Delete this page?";"Smazat tuto stránku?"
Design;Design
"Developer Accounts";"Účet vývojáře"
"Device Information";"Informace o zařízení"
"Discount zone description. Here your clients will be able to see the details of each discount";"Popis slevy. Zde Vaši klienti mohu vidět podrobnosti o každé slevě."
Domain;Doména
"Domain name";"Název domény"
Download;Stáhnout
"Download our app previewer";"Stáhněte si testovací prohlížeč aplikace"
"Drop your certificate here";"Vložte certifikát"
"Edit my";"Upravit "
"Edit the application ""%s""";"Upravit aplikaci ""%s"""
Editor;Editor
Education;Vzdělání
Entertainment;Zábava
"Extension not allowed, '%s' only";"Rozšíření není povoleno, pouze '%s'"
Features;Funkce
Finance;Finance
"Food & Drink";"Jídlo a pití"
"Fred W.";"Marek S."
Games;Hry
"General Information";"Všeobecné informace"
"General information";"Všeobecné informace"
"Global visits";"Počet návštěv"
"Google Play Icon";"Ikona pro Google Play"
"Google's Information";"Informace o společnosti Google"
"Health & Fitness";"Zdraví a fitness"
"Here is our latest creation. What do you think?";"Tady je náš poslední výtvor… Co si myslíte?"
"Homepage preview";"Náhled na Hlavní stránku"
"I don't have a Google developer account and I want to create one";"Nemám vývojářský účet Google, ale chci si ho vytvořit. Pod odkazem níže si můžete účet založit (cena - 25 EUR)"
"I don't have an Apple developer account and I want to create one";"Nemám vývojářský účet Apple, ale chci si ho vytvořit. Pod odkazem níže si můžete účet založit (cena - 99 dolarů za rok!)"
"I have an Apple developer account";"Mám vývojářský účet Apple. Vypublikujte mi aplikaci pod tímto účtem"
"I have an Google developer account";"Mám vývojářský účet Google. Vypublikujte mi aplikaci pod tímto účtem"
"I let you publish my application under your Apple developer account";"VYPUBLIKUJTE MI PROSÍM MOJI APLIKACI POD VAŠÍM VÝVOJÁŘSKÝM ÚČTEM"
"I let you publish my application under your Google developer account";"VYPUBLIKUJTE MI PROSÍM MOJI APLIKACI POD VAŠÍM VÝVOJÁŘSKÝM ÚČTEM"
Icons;Ikony
Id;ID
"If you validate, your app's colors and background image will be replaced";"POZOR!!! Pokud změnu vzoru schválíte, budou Vaše DŘÍVE VYBRANÉ BARVY A STYL MENU ZMĚNĚNY!!!"
"Installed application";"Nainstalovaná aplikace"
"Key Password";"Key Password"
Keywords;"Klíčová slova"
"Last name:";Příjmení:
"Library icons";"Ikony knihovny"
Lifestyle;"Životní styl"
"List of my applications";"Seznam aplikací"
"List of your applications";"Seznam aplikací"
Loading;Nahrávám
"Lock the entire application";"Zamknout celou aplikaci"
"Love it <3";"Nádhera!!! :-)"
Main;Hlavní
"Manage icons";"Správce ikon"
Media;Media
Medical;Zdravotnictví
"Missing Information";"Chybějící informace"
"Mobile Source Codes";"Mobilní Zdrojové kódy"
"Mobile source codes";"Mobilní Zdrojové kódy"
"Mobile website information";"Informace o mobilním webu"
"My QRCode";"Můj QR kód"
"My application in figures";"Vaše aplikace v číslech"
Navigation;Navigace
News;Zprávy
"One free coffee";"Jedna káva zdarma"
"Or go on your store<br />and look for ""Apps Company Previewer""";"Nebo otevřete Váš obchod s aplikacemi (iTunes store, Google Play)<br />a vyhledejte ""Apps Company Previewer"""
"Page name:";"Název stránky:"
"Percentage of returning customers";"Procento vracejících se zákazníků"
"Photo & Video";"Foto a Video"
"Please enter a correct URL for the %s store";"Prosím, zadejte správné URL pro %s obchod"
"Please enter a subdomain.";"Prosím, zadejte subdoménu."
"Please enter a valid URL";"Zadejte prosím platnou URL"
"Please enter a valid address";"Zadejte prosím platnou adresu"
"Please enter a valid mobile website address.";"Zadejte prosím platnou adresu."
Preview;Náhled
Productivity;Produktivita
Promote;Marketing
Publication;Vypublikovat
"Publish the application";"Vypublikovat aplikaci"
"Publish under our account";"Vypublikovat pod naším účtem"
"Ready ? Publish my app!";"HOTOVO - VYPUBLIKOVAT!"
"Recommanded size:";"Doporučená velikost:"
Reference;Reference
"Remove this page from this folder?";"Odstranit tuto stránku z této složky?"
"Scan this QR Code";"Naskenujte QR kód"
"Scan this QR Code:";"Naskenujte QR kód"
"Secondary category";"Sekundární kategorie"
"Secondary category<br />(Optional)";"Sekundární kategorie<br/>(volitelné)"
"Send here your iOS certificate to enable the push notifications for this application.";"Zde vložte certifikát iOS k povolení Push oznámení pro tuto aplikaci."
