An error occurred while saving your discount. Please fill in all fields;Ocorreu um erro ao salvar o seu desconto. Por favor, preencha todos os campos
Are you sure you want to use this discount?;Tem certeza de que deseja usar esse desconto?
Closed discounts;Descontos fechados
Create a new discount;Criar um novo desconto
Delete this discount?;Deletar este desconto?
Discount successfully deleted;Desconto deletado com sucesso
Discount successfully saved;Desconto salvo com sucesso
Please select an end date greater than the current date.;Por favor, selecione uma data de término maior do que a data atual.
This discount is now used;Este desconto foi usado agora
Valid until;Válido até
You have already use this discount;Você já usou este desconto
You must be logged in to use a discount;Você precisa estar logado para usar um desconto
or illimited;ou ilimitado
use only once;usar apenas uma vez
you'll be able to remove this promotion later;você vai ser capaz de remover esta promoção depois
