".mp4 or .3gp format";".mp4 nebo .3gp formát"
"Add ";Přidat
"Add sections:";"Přidat sekci:"
Address:;Adresa:
Alignment:;Zarovnání:
"An error occurred while saving your page.";"Při ukládání se vyskytla chyba"
"Are you sure you want to delete this page?";"Určitě chcete smazat tuto stránku?"
"Display address";"Zobrazit adresu"
"Display location button";"Zobrazit tlačítko pro mapu"
Label;Název
Label:;Název:
Large;Velký
"Loading picture:";"Nahrát obrázek:"
"Make a search or enter the Youtube Url:";"Vyhledejte nebo zadejte Youtube adresu:"
Medium;Střední
"My Youtube video:";"Moje YouTube Videa"
"My video";"Moje videa"
"No videos matching your selection";"Žádné video nesouhlasí s Vaším výběrem"
"Page successfully deleted";"Stránka byla úspěšně smazána"
"Page successfully saved";"Stránka byla úspěšně uložena"
"Podcast URL:";"Podcast URL:"
"Select a button type:";"Vyberte typ tlačítka"
"Select a video type:";"Vyberte typ videa"
Small;Malý
"Video URL:";"Video URL:"
"Your Podcast:";"Váš Podcast:"
"﻿.mp4 or .3gp format";".mp4 nebo .3gp formát"
