%s - Account creation;%s - Account gemaakt
%s - Your new password;%s - Uw nieuwe wachtwoord
A request to reset your password has been made.;Een verzoek om uw wachtwoord te resetten is gemaakt.
An error occurred while connecting to your Facebook account. Please try again later;Er is een fout opgetreden tijdens het verbinden met je Facebook-account. Probeer het later opnieuw
Are you sure you want to remove this user?;Weet u zeker dat u deze gebruiker wilt verwijderen?
Change Password;Wachtwoord wijzigen
Congratulations,;Gefeliciteerd,
Create;Maak
Create a new user;Maak een nieuwe gebruiker
Create an account;Maak een account
Customer;Klant
Customers;Klanten
Disconnect;Loskoppelen
Edit the user %s;Bewerk de gebruiker %s
First name;Voornaam
Forgot your password?;Wachtwoord vergeten?
Gender;Man / vrouw
Here are your credentials:;Hier zijn uw gegevens:
I accept the <u>privacy policy</u>;Ik accepteer het <u>privacybeleid</ u>
If you encounter any problems, do not hesitate to contact us:;Als u problemen ondervindt, aarzel dan niet om contact opte nemen:
Last name;Achternaam
Login:;Login :
Miss;Mejv.
Mr;Dhr.
Mrs;Mevr.
My Account;Mijn account
My application's users;Mijn App gebruikers
Old Password;Oude wachtwoord
Or with your account;Of met uw account
Please enter your email address. We'll send you your password right now.;Vul uw e-mailadres in . We zullen u nu uw wachtwoord sturen.
Please log in with your mobile phone;Log-in met uw mobiele telefoon
Privacy Policy;Privacybeleid
See you soon,;Tot ziens,
Show me in ranking;Toon mij in het klassement
The old email address does not match the entered email address.;Het oude e-mailadres komt niet overeen met het opgegeven e-mailadres.
"This user can access the pages locked by the ""Locker"" feature";"Deze gebruiker kan toegang krijgen tot de pagina's die vergrendeld zijn door de functie ""Locker"""
This user is visible in ranking;De gebruiker is zichtbaar in de ranking
User;Gebruiker
Users;Gebruikers
User Information;Gebruiker informatie
We are sorry but the %s account is already linked to one of our customers;Het spijt ons maar het %s-account is al gekoppeld aan een van onze klanten
You have created your account. With this account, you will be able to enjoy great offers available in our application.;Je hebt je account aangemaakt. Met dit account, kunt u genieten van de geweldige aanbiedingen die beschikbaar zijn in onze applicatie.
Your account has been successfully saved;Uw account is met succes opgeslagen
