"Location:";"Ubicación:"
"Enter the location name and contact email:";"Introduzca la ubicación y correo electrónico:"
"First name / Last name";"Nombre / Apellidos:"
"People number:";"Número de personas:"
"Date and time";"Fecha y hora:"
"Booking details";"Detalles de la reserva:"
"Your name";"Su nombre"
"Your chosen location";"Elija su ubicación"
"Your phone number or email address";"Su número de teléfono o dirección de correo electrónico"
"The number of people";"El número de personas"
"The date and time of the booking";"La fecha y la hora de la reserva"
"The booking informations";"Información sobre la reserva"
"Thank you for your request. We'll answer you as soon as possible.";"Gracias por su mensaje. Contestaremos lo antes posible."
"An error occurred while sending your message. We apologize and ask you to try later.";"Ha ocurrido un error enviando su mensaje. Discúlpenos y por favor inténtelo más tarde."
"SEND";"ENVIAR"
"MM dd yy";"dd MM yy"
"Mddyy";"ddMyy"
"hh:ii A";"HH:ii"
"hhiiA";"HHii"
"Please, choose a store";"Por favor, elija una tienda"
"Message from your app %s";"Mensaje desde su App %s"
"Please fill out the following fields:<br />";"Por favor, rellene los siguientes campos: <br/>"
;
"You have received a message for the booking of";"Usted recibió un mensaje relativo a la reserva de "
"Here are his personal information:";"Esto es sus señas:"
"Name:";"Apellido:"
"Phone number:";"Teléfono:"
"Email address:";"Correo electrónico:"
"Booking details:";"Detalles de la reserva:"
"Date and time:";"Horario: "
"People number:";"Nùmero de personas:"
"Booking subject:";"Objeto:"
"Comment:";"Comentario:"
