"%s - Customer Service";"%s - Обслуживание клиентов"
"20.00%";"20.00%"
"Add a picture";"Добавить фотографию"
"Add options";"Дополнительные возможности"
"Add to cart";"Добавить в корзину"
"An error occurred while proceeding the payment. Please, try again later.";"Произошла ошибка во время оплаты. Пожалуйста, повторите попытку позже."
"An error occurred while proceeding your order. Please, check the following information:";"Произошла ошибка при исполнении вашего заказа. Пожалуйста, проверьте следующую информацию:"
"Are you sure you want to close without saving";"Вы уверены, что хотите закрыть без сохранения"
"Are you sure you want to delete this category and all its subcategories?";"Вы уверены, что хотите удалить эту категорию и все его подкатегории?"
"Are you sure you want to delete this store?";"Вы уверены, что хотите удалить этот магазин?"
"Are you sure you want to delete this tax?";"Вы уверены, что хотите удалить этот налог?"
"Are you sure you want to remove this product?";"Вы уверены, что хотите удалить этот продукт?"
"At least one option is required:";"По крайней мере, один параметр является обязательным:"
"Cancelled";"Отменен"
"Carry Out";"На экспорт"
"Cart";"Корзина"
"Cash";"Наличные"
"Category";"Категория"
"Category successfully saved.";"Категория успешно сохранена."
"Check";"Проверить"
"Choose a delivery method:";"Выберите способ доставки:"
"Choose a payment method:";"Выберите способ оплаты:"
"Choose a store:";"Выберите магазин:"
"Completed";"Завершен"
"Connected Printers";"Подключенные принтеры"
"Continue shopping";"Продолжить покупки"
"Create a new options group";"Создайте новую группу опций"
"Create a new product";"Создать новый продукт"
"Create a new tax";"Создать новый налог"
"Create a store";"Создать магазин"
"Credit Card by phone";"Кредитная карта по телефону"
"Credit card (pay upon pickup or delivery)";"Кредитная карта (оплата по телефону)"
"Customer";"Клиент"
"Customer Service";"Обслуживание Клиентов"
"Delivery";"Доставка"
"Delivery Fees";"Стоимость доставки"
"Delivery Method";"Способ доставки"
"Delivery area";"Область доставки"
"Delivery fees";"Стоимость доставки"
"Delivery fees:";"Стоимость доставки:"
"Delivery methods";"Способ доставки"
"Delivery methods:";"Способ доставки:"
"Delivery radius";"Радиус доставки"
"Delivery radius:";"Радиус доставки"
"Delivery time";"Срок поставки"
"Delivery time:";"Срок поставки:"
"Details";"Подробности"
"Edit a store";"Редактирование магазина"
"Edit the options group %s";"Редактировать группу опций %s"
"Edit the product %s";"Редактировать продукт %s"
"Edit the tax %s";"Редактировать налог %s"
"Free delivery starting from";"Бесплатная доставка начиная с"
"Free delivery starting from:";"Бесплатная доставка начиная с:"
"Here is the detail of the order";"Вот детали заказа"
"Here is the detail of your order";"Вот детали заказа"
"Hours of operation";"Часы работы"
"Hours of operation:";"Часы работы:"
"In store";"В магазине"
"Meal Voucher";"Оплата кредиткой во время получения"
"Minimum order";"Минимальный заказ"
"Minimum order:";"Минимальный заказ:"
"My Cart";"Моя корзина"
"My cart is empty";"Моя корзина пуста"
"My categories";"Мои категории"
"My information";"Моя информация"
"My orders";"Мои заказы"
"My product's categories";"Категория Мои продукты"
"My product's options";"Возможности для подписавшихся на Мои продукты"
"My products";"Мои продукты"
"My stores";"Мои магазины"
"My taxes";"Мои налоги"
"Name of the options group:";"Название группы параметров:"
"New order from the application";"Новый заказ из мобильного приложения."
"Number";"Количество"
"Option name";"Название продукта"
"Option name:";"Название продукта:"
"Options group successfully deleted";"Группа Параметры успешно удалена"
"Options group successfully saved";"Группа Параметры успешно сохранены"
"Order Number";"Номер Заказа"
"Order confirmation";"Подтверждение заказа"
"Order details";"Детали заказа"
"Order successfully saved";"Заказы успешно сохранены"
"Orders";"Заказы"
"Paid";"Оплачен"
"Password";"Пароль"
"Password:";"Пароль:"
"Payment";"Оплата"
"Payment Method";"Способ Оплаты"
"Payment methods:";"Способы оплаты:"
"Paypal";"Paypal"
"Pending payment";"До оплаты"
"Picture";"Картинка"
"Please choose a delivery method";"Пожалуйста, выберите способ доставки"
"Please choose a payment method";"Пожалуйста, выберите способ оплаты"
