"'Near me' radius (in km):";"Okruh ""V okolí"" (v Km)"
"An error occurred while deleting this answer. Please try again later.";"Při mazání odpovědi došlo k chybě. Zkuste to prosím později."
"Create a news:";"Vytvořte zprávu:"
"Hide this info";"Skrýt tuto informaci"
"Information successfully deleted";"Informace byla úspěšně smazána"
"Information successfully hidden";"Informace byla úspěšně skryta"
"Information successfully saved";"Informace byla úspěšně uložena"
"Information successfully shown";"Informace byla úspěšně zobrazena"
"Insert a";Vložit
"It will be visible only after validation by our team.";"Toto bude viditelné až po našem schválení"
"My customers answers";"Odpovědi uživatelů"
"My customers' comments";"Uživatelské komentáře"
"Near me";"V okolí"
"Near me settings";"Nastavení ""V okolí"""
Post;Příspěvek
"Publishing date";Publikováno
Radius;Okruh
"Radius must be a valid numeric value.";"Okruh musí  být číslo"
"Radius must be provided.";"Okruh musí  být k dispozici"
Recent;Aktuální
"Show this info";"Zobrazit tuto informaci"
"There is no comment for this news";"Zpráva je zatím bez komentářů"
"Was flagged as inappropriate";"Bylo označeno jako nevhodné"
"You can't like more than once the same news";"Nelze přidat další Like pro stejnou zprávu"
"You need to be connected to create a post";"Musíte být připojeni k vytvoření příspěvku"
"Your flag has successfully been notified";"Vaše označení bylo úspěšně uloženo"
"Your like has been successfully added";"Váš Like byl přidán"
"Your message has been successfully saved.";"Vaše zpráva byla úspěšně uložena."
"Your post was successfully added";"Váš příspěvek byl úspěšně uložen"
"﻿An error occurred while deleting this answer. Please try again later.";"Při mazání odpovědi došlo k chybě. Zkuste to prosím později."
