Action;Ação
App Name;Nome Aplicativo
Client;Cliente
Date;Data
Invoice;Fatura
Invoice %s;Fatura %s
Invoice N°;Fatura NÂ°
List of your invoices;Lista de suas faturas
My Invoices;Minhas faturas
Order;Pedido
Orders;Pedidos
Paid At;Pago em
Paid at:;Pago em:
Price Excl. Tax;Preço Excl. Imposto
Qty;Qtde
This feature is not ready yet. Please try again later.;Este recurso ainda não está pronto. Por favor, tente novamente mais tarde.
Total Excl. Tax;Total Excl. Imposto
You don't have any invoices yet;Você não tem nenhuma fatura ainda
