"Add a picture";"Ein Bild hinzufügen"
"An error occurred while deleting the event";"Beim Löschen der Veranstaltung ist ein Fehler aufgetreten"
"An error occurred while loading this event";"Beim Laden dieses Ereignisses ist ein Fehler aufgetreten"
"Beginning date:";Anfangsdatum:
"Calendar successfully deleted";"Kalender erfolgreich gelöscht"
"Calendar's URL";"Kalender URL"
"Calendar's title";"Kalender Titel"
"Change picture";"Bild ändern"
"Create a new event";"Erstellen Sie eine neue Veranstaltung"
"Custom Page";"Benutzerdefinierte Seite"
"Delete this calendar?";"Löschen Sie diesen Kalender?"
"Delete this event?";"Löschen Sie diese Veranstaltung?"
Description:;Beschreibung:
"Ending date:";Enddatum:
"Enter your calendar's title";"Geben Sie Ihre Kalender-Titel ein"
Event;Veranstaltung
"Event successfully deleted";"Ereignis erfolgreich gelöscht"
"Event successfully saved";"Ereignis erfolgreich gespeichert"
"Event title:";"Titel der Veranstaltung:"
Illustration;Abbildung
Location:;Ort:
"Max size: 2000x2000px - allowed formats: jpg & png";"Max. Größe: 2000x2000px - erlaubte Formate: Jpg & Png"
"Modify the event";"Ändern Sie die Veranstaltung"
"More events";"Weitere Veranstaltungen"
RSVP;RSVP
"RSVP URL:";"RSVP URL:"
"Send your pictures";"Senden Sie Ihre Fotos"
Title:;Titel:
"Your Facebook page ID";"Ihre Facebook-Seiten ID"
"Your Facebook page ID <span class=""required-entry"">*</span> :";"Ihre Facebook-Seite ID <span class=""required-entry""> * </span>:"
"Your calendar is empty";"Ihr Kalender ist leer"
iCal;iCal
