%s - Your new password;%s – Yeni şifreniz
A request to reset your password has been made to log in to your administration panel.;Yönetim paneli şifrenizi sifirlamak için bir istek yapılmıştır.
Admin successfully deleted;Yönetici silindi
An error occurred while saving. The country is not valid.;Kaydedilirken bir hata oluştu. Ülke geçerli değil.
Are you sure you want to delete this application?;Bu aplikasyonu silmek istediğinize eminmisiniz?
Can add pages;Sayfa eklenebilir mi
Change my password;Şifremi değiştir
Confirm your password;Şifrenizi doğrulayın
Create a new application;Yeni aplikasyon oluşturun
Create a new user;Yeni kullanıcı oluşturun
Created At;De Oluşturuldu
Created at %s;%s te oluşturuldu
Do not hesitate to give us your feedback by sharing your needs:;İsteklerinizi paylaşarak bize geribildirim göndermek için tereddüt etmeyin:
"Edit the account ""%s""";"""%s"" hesabı güncelle"
Edit the user %s;%s kullanıcını düzenle
Enjoy!;Keyfine bak!
Find some advices here:;Burada bazı tavsiyeler bulun:
Here are your credentials, keep them preciously:;İşte kimlik bilgileri, lütfen gizli tunun:
List of admin accounts;Yönetici hesapları listesi
List of my accounts;Hesaplarımın listesi
List of your users;Kullanıcılarınızın listesi
Log-in As;Olarak giriş yapın
Manage access;Erişimi yönet
My Applications;Uygulamalarım
My information;Bilgilerim
Need some help?;Yardıma ihtiyacınız var mı?
Please enter a valid email address.;Lütfen geçerli bir email adresi girin.
Please, enter an application name;Lütfen bir aplikasyon ismi girin
Ready to create your own apps?;Kendi aplikasyonunuzu oluşturmaya hazır mısınız?
Sign up;Kaydol
Thanks for choosing us!;Bizi seçtiğiniz için teşekkür ederiz.
The Support Team;Destek ekibi
The password and the confirmation does not match.;Doğrulam şifreniz uyuşmuyor.
The password must be at least 6 characters.;Şifre en az 6 karekter olmalıdır.
We are sorry but this email address is already used.;Üzgünüz ancak bu email adresi kullanılıyor.
Welcome!;Hoşgeldiniz.
