"%s ago";"%s önce"
"404, page not found";"404, sayfa bulunamadı"
"APIs";"API ler"
"Accounts";"Hesaplar"
"Actions";"Eylemler"
"Add";"Ekle"
"Add a";"Ekle"
"Add image";"Resim ekle"
"Address";"Adres"
"All items";"Tüm ögeler"
"An error occurred during process. Please try again later.";"İşlemi sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred during the process. Please try again later.";"İşlemi sırasında bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while loading places.";"Yerleri yüklerken bir hata oluştu."
"An error occurred while loading. Please try again later.";"Yüklenirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while loading. Please, try again later.";"Yüklenirken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while saving";"Kaydedilirken bir hata oluştu"
"An error occurred while saving your account. Please try again later.";"Hesabınızı kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving your picture. Please try againg later.";"Resminiz kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving. Please try again later.";"Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz."
"An error occurred while saving. Please, try again later.";"Kaydedilirken bir hata oluştu. Daha sonra tekrar deneyin."
"An error occurred while uploading your file. Please, try again later.";"Dosyanızı yüklenirken bir hata oluştu. Daha sonra tekrar deneyin."
"An unexpected error occurred while calculating the route.";"Rota hesaplanırken beklenmeyen bir hata oluştu."
"Appearance";"Görünüm"
"Application";"Uygulama"
"Application Name";"Uygulama adı"
"Applications";"Uygulamalar"
"Are you sure you want to delete this element?";"Bu öğeyi silmek istediğinizden emin misiniz?"
"Are you sure you want to remove this account?";"Bu hesabı kaldırmak istediğinize emin misiniz?"
"Authentication failed. Please check your email and/or your password";"Kimlik doğrulama başarısız oldu. E-posta adresinizi ve / veya şifrenizi kontrol edin"
"Back";"Geri"
"Background";"Background"
"Browse";"Browse"
"Can only be used once";"Sadece bir kez kullanılabilir"
"Cancel";"İptal"
"Cart";"Sepet"
"Change password";"Şifreyi değiştir"
"City";"Şehir"
"City:";"Şehir:"
"Close";"Kapat"
"Comment";"Yorum"
"Comments";"Yorumlar"
"Communication";"İletişim"
"Company";"Şirket"
"Coms";"Coms"
"Conditions";"Koşullar"
"Confirm Password";"Şifreyi doğrula"
"Confirm new password";"Yeni şifreyi doğrula"
"Contact successfully added to your address book";"Kontak başarıyla adres defterinize eklendi"
"Country";"Ülke"
"Create";"Oluştur"
"Create a new account";"Yeni bir hesap oluştur"
"Created at";"de oluşturuldu"
"Currency";"Para birimi"
"Current password";"Mevcut şifre"
"Dashboard";"Yönetim Paneli"
"Date of birth";"Doğum tarihi"
"Date of birth:";"Doğum tarihi"
"Default Languages";"Birincil dil"
"Delete";"Sil"
"Description";"Açıklama"
"Description:";"Açıklama:"
"Details";"Detaylar"
"Edit";"Düzenle"
"Editing";"Düzenleme"
"Email";"Email"
"Email address";"Email adresi"
"Email:";"Email:"
"End at";"de bitti"
"Error : <br/>";"Hata : <br/>"
"Errors : <br/>";"Hatalar : <br/>"
"Export your customers";"Müşterilerinizi dışarı aktarın"
"Extension not allowed, '%s' only";"Uzatma izin verilmiyor,sadece '%s'"
"Facebook";"Facebook"
"Firstname";"Adı"
"Firstname:";"Adi:"
"Forgot your password ?";"Şifrenizi mi unuttunuz?"
"Forgot your password? Don't worry! Simply enter your email address and we'll send you a new one right now.";"Şifrenizi mi unuttunuz? Üzülmeyin! E-posta adresini girin ,size bir yenisini göndereceğiz."
"General";"Genel"
"Hello,";"Merhaba,"
"Here is your new password:";"Yeni şifreniz:"
"How do you want to access the backoffice if you remove the only user remaining?";"Bu hesap silinemez"
"ID";"ID"
"Image not high enough, %spx minimum allowed.";"Resim yüksekliği yeterli değil,en az %spx olmalı."
"Image not large enough, %spx minimum allowed.";"Resim eni yeterli değil,en az %spx olmalı."
"Image not large enough, '%s' allowed.";"Resim yeterince büyük değil,izin verilen '%s'"
"Image too high, %spx maximum allowed.";"Resim yüksekliği çok fazla,en fazla %spx olmalı."
"Image too large, %spx maximum allowed.";"Resim çok büyük, en fazla %spx olmalı."
"Image too large, '%s' allowed.";"Resim çok büyük,izin verilen büyüklük '%s'."
"In order to fully enjoy our features, we encourage you to use at least:.<br />";"Uygulamanızı etkin kullanmanız için  önerdiğimiz minimum özellik adedi:<br />"
"In order to publish your application, we need:<br />- ";"Uygulamanızı yayınlayabilmemiz için gerekenler:<br />- "
"Incorrect filetype.";"Yanlış dosya türü,"
"Info successfully saved";"Bilgi başarıyla kaydedildi"
"Information";"Bilgi"
"Infos successfully saved";"Bilgi başarıyla kaydedildi"
"Insert a <br /><span class=""bold"">cover image</span>";"Bir kapak resmi <br /><span class=""bold"">yükleyin</span>"
"Invalid place";"Geçersiz yer"
"Invoices";"Faturalar"
"Last Name";"Soy Ad"
"Lastname";"Soyad"
"Lastname:";"Soyad:"
"Like";"Beğen"
"Likes";"Beğeniler"
"Link";"Link"
"Load More";"Daha fazla yükle"
"Locate";"Yerleştir"
"Location:";"Lokasyon:"
"Log in";"Oturum Aç"
"Log-in";"Oturum Aç"
"Log-out";"Çıkış"
"Logged in as";"Olarak girildi"
"MM,d yy";"MM,d yy"
"MM/dd/y";"MM/dd/y"
"MM/dd/y 'at' hh:mm a";"MM/dd/y 'at' hh:mm a"
"MM/dd/y hh:mm a";"MM/dd/y hh:mm a"
"MM/dd/yy";"MM/dd/yy"
"MM/dd/yyyy";"MM/dd/yyyy"
"MMMM dd y";"MMMM dd y"
"Main category";"Ana kategori"
"Make this image colorizable";"Bu resmi renklendirilebilir yap"
"Manage";"Yönet"
"Map";"Harita"
"Maps";"Haritalar"
"Message from your app %s";"%s uygulamanızdan mesaj "
"Messages";"Mesajlar"
"Modules";"Modüller"
"More";"Daha"
"My account";"Hesabım"
"My invoices";"Faturalarım"
"Name";"Ad"
"Never";"Asla"
"New";"Yeni"
"Next";"Sonraki"
"No";"Yok"
"No address to display on map.";"Harita üzerinde gösterilecek bir adres yok."
"No place to display on map.";"Harita üzerinde gösterilecek bir yer yok."
"No results";"Sonuç yok"
"No uploaded image";"yüklenen resim sayısı"
"Nothing to display";"Gösterilecek bir şey yok"
"Number";"Sayı"
"OK";"OK"
"OR";"YA DA"
"Ouch, this page doesn't exist";"Bu sayfa mevcut değil"
"Password";"Şifre"
"Password:";"Şifre:"
"Passwords don't match";"Şifre eşleşmiyor"
"Payment";"Ödeme"
"Phone";"Telefon"
"Phone:";"Tel:"
"Photos";"Resimler"
"Plans";"Planlar"
"Platform Name";"Platform Adı"
"Player";"Oyuncu"
"Please enter a password";"Lütfen bir şifre girin"
"Please enter a valid URL.";"Lütfen geçerli bir URL girin."
"Please enter a valid credit card number.";"Lütfen geçerli bir kredi kartı numarası girin."
"Please enter a valid date (ISO).";"Lütfen geçerli bir tarih girin (ISO)."
"Please enter a valid date.";"Lütfen geçerli bir tarih girin."
"Please enter a valid email address";"Lütfen geçerli bir email girin"
"Please enter a valid email address.";"lütfen geçerli bir email adresi girin."
"Please enter a valid number.";"Lütfen geçerli bir numara girin."
"Please enter a valid url";"Lütfen geçerli bir url girin"
"Please enter a value between {0} and {1} characters long.";"Lütfen {0} ile {1} karakter uzunluğu arasında bir değer girin."
"Please enter a value between {0} and {1}.";"Lütfen {0} ile {1} arası bir değer giriniz."
"Please enter a value greater than or equal to {0}.";"Lütfen {0} a eşit ya da büyük bir değer girin."
"Please enter a value less than or equal to {0}.";"Lütfen {0} a eşit ya da daha küçük bir değer girin."
"Please enter at least {0} characters.";"Lütfen en az {0} karakter girin."
"Please enter no more than {0} characters.";"{0} karakterden daha fazla girmeyiniz."
"Please enter only digits.";"Lütfen yalnızca numara girin."
"Please enter the same value again.";"Lütfen aynı değeri tekrar girin."
"Please enter your email address";"Lütfen email adresinizi girin"
"Please fill in the following fields:";"Aşağıdaki alanları doldurunuz:"
"Please fix this field.";"Lütfen alanı düzenleyin."
"Please log in.";"Lütfen giriş yapın"
"Please, enter a correct email address.";"Lütfen doğru email girin"
"Please, enter a password.";"Lütfen bir şifre girin."
"Please, enter a valid date";"Lütfen geçerli bir tarih girin"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (iTunes format)"
"Podcast type is invalid or can't be found";"Podcast türü geçersiz ya da bulunamıyor"
"Postcode";"Posta kodu"
"Postcode:";"Posta Kodu:"
"Push";"Bildirim"
"Required fields";"Gerekli alanlar"
"Resize your picture";"Resminizi yeniden boyutlandırın"
"Resize your picture:";"Resminizi yeniden boyutlandırın:"
"SEND";"YOLLA"
"Save";"Sakla"
"Search";"Ara"
"Select a country";"Bir ülke seçin"
"Select all";"Tümünü seçin"
"Send";"Gönder"
"Send your pictures";"Resimlerinizi gönderin"
"Settings";"Ayarlar"
"Size:";"Boyut:"
"Street";"Cadde"
"Street:";"Cadde:"
"Subscriptions";"Üyelik"
"Support";"Destek"
