"%s - Your new password";"%s  - Ваш новый пароль"
"A request to reset your password has been made to log in to your administration panel.";"Запрос для сброса пароля была сделан, чтобы войти в вашу Панель Администратора."
"Admin successfully deleted";"Админ успешно удален"
"An error occurred while saving. The country is not valid.";"Произошла ошибка при сохранении. Страна не является действительной."
"Are you sure you want to delete this application?";"Вы уверены, что хотите удалить это приложение?"
"Can add pages";"Можно добавить страницы"
"Change my password";"Изменение пароля"
"Confirm your password";"Подтвердите пароль"
"Create a new application";"Создание нового приложения"
"Create a new user";"Создание нового пользователя"
"Created At";"Создан в "
"Created at %s";"Дата создания:  %s"
"Do not hesitate to give us your feedback by sharing your needs:";"Не стесняйтесь, оставьте нам свое мнение, поделитесь своими потребностями:"
"Edit the account ""%s""";"Редактировать учетную запись ""%s"""
"Edit the user %s";"Редактирование пользователя %s"
"Enjoy!";"Наслаждайтесь!"
"Find some advices here:";"Найдите здесь несколько советов:"
"Here are your credentials, keep them preciously:";"Вот ваши полномочия, храните их бережно:"
"List of admin accounts";"Список записи администраторов"
"List of my accounts";"Список моих счетов"
"List of your users";"Список пользователей"
"Log-in As";"Вход в систему как"
"Manage access";"Управление доступом"
"My Applications";"Мои приложения"
"My information";"Моя информация"
"Need some help?";"Нужна помощь?"
"Please enter a valid email address.";"Пожалуйста, введите действительный адрес электронной почты."
"Please, enter an application name";"Пожалуйста, введите имя приложения"
"Ready to create your own apps?";"Все готово для создания собственных приложений?"
"Sign up";"Создать аккаунт"
"Thanks for choosing us!";"Спасибо что выбрали нас!"
"The Support Team";"Команда поддержки"
"The password and the confirmation does not match.";"Пароль и подтверждение не совпадают."
"The password must be at least 6 characters.";"Пароль должен быть не менее 6 символов."
"We are sorry but this email address is already used.";"Мы сожалеем, но этот адрес уже используется."
"Welcome!";"Добро пожаловать!"
"You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.";"Вам понравиться наша платформа! Благодаря нашим эффективным функциям, вы сможете создавать великолепные мобильные приложения с вашим именем, в течение нескольких минут."
"You can't delete the main account";"Вы не можете удалить основной аккаунт"
"You don't have any users yet";"Вы не создали еще ни одного пользователя"
"Your credentials";"Ваши учетные данные"
"Your login:";"Ваш Логин:"
"Your password:";"Ваш пароль:"
