 is now yours!;agora é seu!
%d validated points = ;%d pontos validados = 
1 loyalty point =;1 ponto de fidelidade=
1 point;1 ponto
1 validated point = ;1 ponto validado = 
An error occurred while saving the password. Please try again later;Ocorreu um erro ao salvar a senha. Por favor, tente novamente mais tarde
An error occurred while saving the password. Please try again later.;Ocorreu um erro ao salvar a senha. Por favor, tente novamente mais tarde.
An error occurred while saving your loyalty card.;Ocorreu um erro ao salvar o seu cartão de fidelidade.
An error occurred while saving your loyalty card. Please fill all fields in.;Ocorreu um erro ao salvar o seu cartão de fidelidade. Por favor, preencha todos os campos.
An error occurred while validating point. Please try again later.;Ocorreu um erro ao validar o ponto. Por favor, tente novamente mais tarde.
Card name;Nome do cartão
Congratulations;Parabéns
Current card;Cartão atual
Delete this password?;Deletar esta senha?
Employee's name:;Nome do empregado:
Employee's name;Nome do empregado
Employee's password:;Senha empregado:
Employee's password;Senha empregado
Enter the password;Digite a senha
My new loyalty card;Meu novo cartão de fidelidade
My passwords;Minhas senhas
Number of points;Número de pontos
point to validate;ponto para validar
points to validate;pontos para validar
Please enter a name;Por favor, indique um nome
Please enter the password;Digite a senha
Please show your phone to the store person so that he enters his password;Por favor, peça ao funcionário da loja valide seu ponto através da senha.
Point%s successfully validated;Ponto%s validado com sucesso
Previous cards;Cartões anteriores
Reward;Recompensa
We are sorry but this card is temporarily blocked;Lamentamos, mas este cartão está bloqueado temporariamente
Wrong password. Be carefull! %d remaining attempt%s before locking your card. Ask the store person for validating your point;Senha errada. Tenha cuidado! %d tentativas sucessivas%s antes de bloquear o seu cartão. Peça que ao funcionário da loja para validar seu cartão.
Wrong password.<br />Be carefull! %d remaining attempt%s before locking your card.<br /> Ask the store person for validating your point;Senha errada.<br />Tenha cuidado!%d tentativas sucessivas%s antes de bloquear o seu cartão.<br /> Peça que ao funcionário da loja para validar seu cartão.
You have exceeded the number of attempts to validate points. Your card is locked for 24h;Você excedeu o número de tentativas para validar pontos. Seu cartão está bloqueado por 24h
You just finished your card;Você acabou de validar todo o seu cartão
You must be logged in to validate points;Você precisa estar logado para validar pontos
Your loyalty card has been saved successfully;O seu cartão de fidelidade foi salvo com sucesso
Your password must be 4 digits;Sua senha deve ser de 4 dígitos
point;ponto
point to validate;ponto para validar
points to validate;pontos para validar
