"Action";"Acció"
"App Name";"Nom d'app"
"Client";"Client"
"Date";"Data"
"Invoice";"Factura"
"Invoice %s";"Factura %s"
"Invoice N°";"Factura N °"
"List of your invoices";"Llista de les seves factures"
"My Invoices";"Els meus factures"
"Order";"Comandes"
"Orders";"Comandes"
"Paid At";"Pagament a"
"Paid at:";"Pagament a:"
"Price Excl. Tax";"Preu excl. fiscal"
"Qty";"Quantitat"
"This feature is not ready yet. Please try again later.";"Aquesta característica encara no està llest. Si us plau provar una altra vegada més tard."
"Total Excl. Tax";"L'impost total excl."
"You don't have any invoices yet";"Encara no tens cap factures"
