"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong> должно быть числовое значение<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong> должна быть действительная дата (например дд/мм/год)<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</должна быть действительная дата<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong> должен быть действительный адрес электронной почты<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong> нужно заполнить<br />"
"Add a field";"Добавить поле"
"Add a section";"Добавить раздел"
"Add an option";"Добавить опцию"
"An error occurred while saving. A field can't be identified.";"Произошла ошибка при сохранении. Поле не может быть идентифицировано."
"Are you sure you want to remove this field?";"Вы уверены, что хотите удалить это поле?"
"Are you sure you want to remove this section?";"Вы уверены, что хотите удалить этот раздел?"
"Hello,";"Привет,"
"Checkbox";"Флажок"
"Choose a field type:";"Выберите тип поля:"
"Create a new field";"Создать новое поле"
"Date/Hour";"Дата / час"
"Drop down";"Вниз"
"Edit field %s";"Редактировать поле %s"
"Field name";"Наименование поля"
"Field name:";"Наименование поля:"
"Geolocation";"Геолокация"
"Manage fields";"Управление полем"
"Manage options:";"Управление параметрами:"
"Multiline text";"Текст многострочный"
"Option";"Опция"
"Radio";"Радио"
"Recipient email:";"Адрес электронной почты получателя:"
"The form has been sent successfully";"Форма успешно отправлена"
"You have to choose a field type.";"Вы должны выбрать тип поля."
"Your app's form";"Форма вашего приложения"
"Your form has been filled out, here are the answers:";"Ваша форма была заполнена, вот ответы:"
