"Additionnal Information";"Informations complémentaires"
"And a radius (in Km):";"Et un rayon (en Km) :"
"Android";"Android"
"Creation date";"Date de création"
"Enter a location:";"Saisissez une adresse :"
"GCM Key";"Clé GCM"
"I want to send it";"Je veux l'envoyer"
"Keys successfully saved";"Clés sauvegardées avec succès"
"Message";"Message"
"Message:";"Message :"
"Pending";"Non envoyé"
"Push Notifications";"Notifications Push"
"Push Notifications Settings";"Paramètres des notifications push"
"Radius";"Rayon"
"Send to a specific location";"Envoyer dans une localisation précise"
"Send to all my users";"Envoyer à tous mes utilisateurs"
"Sender ID";"Sender ID"
"Sending date";"Date d'envoi"
"The duration limit must be higher than the sent date";"La limite de durée doit être supérieure à la date d'envoi"
"Your app must be published to send a push notification.";"Votre application doit être publiée pour pouvoir envoyer des notifications push."
"Your message has been saved successfully and will be sent at the entered date";"Votre message a bien été enregistré et sera envoyé à la date indiquée"
"Your message has been saved successfully and will be sent in a few minutes";"Votre message a bien été enregistré et sera envoyé dans quelques minutes"
"and users entering the area";"ainsi qu'aux utilisateurs entrant dans la zone"
"for a limited period";"pendant une durée limitée"
"now";"maintenant"
"on a specific date";"à une date spécifique"
