"Add a link";"Ajouter un lien"
"An error occurred while saving your picto. Please try againg later.";"Une erreur s'est produite lors de l'enregistrement de votre picto. Merci d'essayez plus tard."
"Are you sure you want to delete this link?";"Etestes-vous sûr de vouloir supprimer ce lien?"
"Are you sure you want to delete this picture?";"Etes-vous sûr de vouloir supprimer cette image?"
"Informations";"Informations"
"Link";"Lien"
"Link has been successfully deleted";"Lien a été supprimé"
"Link has been successfully saved";"Le lien a été enregistré avec succès"
"Link:";"Lien :"
"Picto";"Picto"
"The image has been successfully deleted";"L'image a été supprimé avec succès"
"The image has been successfully saved";"L'image a été enregistrée avec succès"
"Your links";"Vos liens"
