%s - Your new password;%s - Sua nova senha
A request to reset your password has been made to log in to your administration panel.;A solicitação para redefinir sua senha e fazer login no seu painel de administração foi realizada.
Admin successfully deleted;Administrador excluído com sucesso
An error occurred while saving. The country is not valid.;Ocorreu um erro ao salvar. O país não é válido.
Are you sure you want to delete this application?;Tem certeza de que deseja excluir este aplicativo?
Can add pages;Pode adicionar páginas
Change my password;Alterar minha senha
Confirm your password;Confirme sua senha
Create a new application;Criar um novo aplicativo
Create a new user;Criar um novo usuário
Created At;Criado em
Created at %s;Criado em %s
Do not hesitate to give us your feedback by sharing your needs:;Não hesite em nos dar o seu feedback compartilhando suas necessidades:
"Edit the account ""%s""";"Edite a conta ""%s"""
Edit the user %s;Edite o usuário %s
Enjoy!;Divirta-se!
Find some advices here:;Encontre algumas dicas aqui:
Here are your credentials, keep them preciously:;Aqui estão as suas credenciais, guarde-as com cuidado:
List of admin accounts;Lista de contas de administrador
List of my accounts;Lista de minhas contas
List of your users;Lista de seus usuários
Log-in As;Logar como
Manage access;Gerenciar o acesso
My Applications;Meus aplicativos
My information;Minhas informações
Need some help?;Precisa de Ajuda?
Please enter a valid email address.;Por favor insira um endereço de e-mail válido.
Please, enter an application name;Por favor, insira um nome de aplicativo
Ready to create your own apps?;Pronto para criar seus próprios aplicativos?
Sign up;Criar conta
Thanks for choosing us!;Obrigado por nos escolher!
The Support Team;A Equipe de Suporte
The password and the confirmation does not match.;A senha de confirmação não corresponde com a senha.
The password must be at least 6 characters.;A senha de possuir pelo menos 6 caracteres.
We are sorry but this email address is already used.;Lamentamos, mas este endereço de e-mail já está sendo usado.
Welcome!;Seja Bem Vindo!
You are going to love it! Thanks to our effective features, you will be able to create great mobile apps in your name, within minutes.;Você vai adorar! Graças aos nossos recursos, você será capaz de criar excelentes aplicativos com personalização de marca, em poucos minutos.
You can't delete the main account;Você não pode excluir a conta principal
You don't have any users yet;Você não tem nenhum usuário ainda
Your credentials;Suas credenciais
Your login:;Seu login:
Your password:;Sua senha
