"%s Update";%s-update
"All of your modules are up to date";"Alle Ihre Module sind auf dem neuesten Stand"
"Click here to send your module";"Klicken Sie hier, um das Modul zu senden"
"Drop your module here";"Ihr Modul hier ablegen"
Host;Host
Installing;Installation
"Installing module <em><span id=""label_module""></span></em>";"Installation von Modul <em><span id=""label_module""></span></em>"
"Installing your module";"Ihr Modul installieren"
"Module Installation";Modulinstallation
"Module successfully installed";"Modul erfolgreich installiert"
"Module to upload";"Modul hochladen"
Modules;Module
"Modules Installation";"Module Installation"
"Modules successfully installed!";"Module erfolgreich installiert!"
"No directory provided";"Kein Verzeichnis bereitgestellt"
"No module to install";"Kein Modul zu installieren"
"No modules uploaded yet";"Keine Module noch hochgeladen"
"Or set the correct permissions to the following files and folders and try again:";"Oder legen Sie die richtigen Berechtigungen auf die folgenden Dateien und Ordner und versuchen Sie es erneut:"
"Package Details";Paketdetails
"Path to your system";"Pfad zu Ihrem system"
"Please update the module to the %s version before installing this update.";"Bitte aktualisieren Sie das Modul auf die %s-Version, bevor Sie dieses Update installieren."
"Please update your system to the %s version before installing this update.";"Bitte aktualisieren Sie Ihr System auf die %s-Version, bevor Sie dieses Update installieren"
"Please wait, we're installing your module";"Bitte warten Sie, wir installieren das Modul"
"Please, enter a name";"Bitte geben Sie einen Namen ein."
"Please, fill out all fields";"Bitte füllen Sie alle Felder"
Port;Port
"Processing the installation";"Die Verarbeitung der Installation"
Retry;"""Wiederholen"""
"Select a module to upload";"Wählen Sie ein Modul um es zu laden"
"Some files and folder are not writable. You can either provide your FTP access to install this update:";"Einige Dateien und Ordner sind nicht schreibgeschützt. Sie bieten entweder Ihre FTP-Zugriff, um dieses Update zu installieren:"
"Some files don't have the right permissions and can't be updated";"Einige Dateien nicht die richtigen Berechtigungen haben und können nicht aktualisiert werden"
"The database connection failed. Please, check the entered information.";"Die Datenbankverbindung ist fehlgeschlagen. Bitte überprüfen Sie die eingegebenen Informationen."
"The entered password confirmation does not match the entered password.";"Die eingegebene Passwortbestätigung überein das eingegebene Passwort nicht. Ihr Modul installieren"
"The file %s does not exist";"Die Datei %s existiert nicht"
"The file %s is not writable.";"Die Datei %s ist nicht beschreibbar."
"The folder %s is not writable.";"Der Ordner %s ist nicht beschreibbar."
"The folder %s is not writable. Please fix this issue and try again.";"Der Ordner %s ist nicht beschreibbar. Bitte beheben Sie dieses Problem und versuchen es erneut."
"The following files and folders are not writable:";"Die folgenden Dateien und Ordner sind nicht beschreibbar:"
"The following files and folders are not writable: <br /> - %s";"Die folgenden Dateien und Ordner sind nicht beschreibbar: < Br / >-%s"
"The following folders are not writable: <br /> - %s";"Die folgenden Ordner sind nicht beschreibbar: <br /> -%s"
"The installation of the module %s has failed: <span id=""installation_failed_because""></span>";"Die Installation des Moduls %s ist fehlgeschlagen: <span id=""installation_failed_because""> </span>"
"The installation of the module <span id=""installation_failed_module_name""></span> has failed: <span id=""installation_failed_because""></span>";"Die Installation des Moduls <span id=""installation_failed_module_name""></span> ist fehlgeschlagen: <span id=""installation_failed_because""></span>"
"The package you have uploaded is invalid.";"Das Paket, das du hochgeladen hast ist ungültig."
"This process may take few minutes, please do not refresh the page";"Dieser Vorgang kann einige Minuten dauern, bitte die Seite nicht aktualisieren"
"This update is designed for the %s, you can't install it in your %s.";"Dieses Update ist für die %s, Sie es in Ihre %s können nicht installiert werden."
"Unable to connect to your FTP. Please check the connection information.";"Keine Verbindung zu Ihrem FTP. Bitte überprüfen Sie die Verbindungsinformationen."
"Unable to detect your site. Please make sure the entered path is correct.";"Nicht in der Lage, Ihre Website zu erkennen. Bitte achten Sie darauf, dass der eingegebene Pfad korrekt ist."
"Unable to extract the archive.";"Kann das Archiv zu extrahieren."
"Unable to open the archive.";"Unfähig, das Archiv zu öffnen."
"Unable to open the file. Please, make sure that you sent a valid archive.";"Nicht in der Lage, die Datei zu öffnen. Stellen Sie sicher, dass Sie eine gültige Archiv geschickt."
"Upload a module";"Ein Modul Galerie"
"Upload your modules";"Laden Sie Ihre Module"
Username;Benutzername
"You already have installed this update.";"Dieses Update haben bereits installiert."
