"An error occurred while saving your contact informations.";"Si è verificato un errore durante il salvataggio delle informazioni di contatto"
"An error occurred while sending your request. Please try again later.";"Si è verificato un errore durante l'invio della richiesta. Si prega di riprovare più tardi."
"And his phone number:";"E il suo numero di telefono:"
"Are you sure you want to remove the picture?";"Sei sicuro di voler rimuovere l'immagine?"
"City";"Città"
"Contact information";"Informazioni di contatto"
"Here is his email:";"Ecco la sua e-mail"
"Here is his message:";"Ecco il suo messaggio:"
"Please enter properly the following fields: <br />";"Si prega di inserire correttamente i seguenti campi:<br/>"
"Twitter";"Twitter"
"Website";"Sito web"
"You have received a message from a contact:";"Hai ricevuto un messaggio da un contatto:"
"Your email";"Email"
"Your message has been sent";"Il messaggio è stato inviato"
"Your request";"La tua richiesta"
"Zip code";"CAP"
