<b>File types:</b> %s<br /><b>Recommended size:</b> %s;<b>Tipos de Arquivo:</b> %s<br /><b>Tamanho Recomendado:</b> %s
Click here to send your favicon;Clique aqui para enviar o seu favicon
Click here to send your logo;Clique aqui para enviar o seu logotipo
Communications;Comunicação
Current favicon;Favicon atual
Current logo;Logo atual
Display a link to your clients to your support platform;Exibir um link para os seus clientes para a sua plataforma de apoio
Drop your favicon here;Solte sua favicon aqui
Drop your logo here;Solte o seu logotipo aqui
Sales;Vendas
Sales Email Address;Endereço Vendas e-mail
Sender's email address of the emails sent by the site to your clients;Remetente de e-mail dos e-mails enviados pelo site para seus clientes
Sender's name of the emails sent by the site to your clients;Nome do remetente dos e-mails enviados pelo site para seus clientes
Support Email Address;Suporte E-mail
The folder /images/default is not writable.;A pasta /images/ padrão não é gravável.
Your Location;Sua Localização
Your Platform;Sua Plataforma
Your company;Sua Empresa
