"<strong>%s</strong> must be a numerical value<br />";"<strong>%s</strong>必须是一个数值<br />"
"<strong>%s</strong> must be a valid date (e.g. dd/mm/yyyy)<br />";"<strong>%s</strong>必须是一个有效的日期（如DD / MM / YYYY )<br />"
"<strong>%s</strong> must be a valid date<br />";"<strong>%s</strong>必须是一个有效的日期<br />"
"<strong>%s</strong> must be a valid email address<br />";"<strong>%s</strong>必须是一个有效的电子邮件<br />"
"<strong>%s</strong> must be filled<br />";"<strong>%s</strong>填写<br 7>"
"Add a field";"添加一个字段"
"Add a section";"添加一个节"
"Add an option";"加入一个选项"
"An error occurred while saving. A field can't be identified.";"有一个错误的节省。字段不能被识别。"
"Are you sure you want to remove this field?";"你确定要删除这个领域？"
"Are you sure you want to remove this section?";"你确定你要删除这部分？"
"Hello,";"您好，"
"Checkbox";"复选框"
"Choose a field type:";"选择字段类型："
"Date/Hour";"日期/时间"
"Drop down";"下拉"
"Edit field %s";"编辑字段％s"
"Field name";"字段名称"
"Field name:";"字段名称："
"Geolocation";"地理定位"
"Manage fields";"管理领域"
"Manage options:";"管理选项："
"Multiline text";"多行文字"
"Option";"选项"
"Radio";"无线电"
"Recipient email:";"发送至："
"The form has been sent successfully";"该表格​​已发送"
"You have to choose a field type.";"你要选择一个字段类型。"
"Your app's form";"申请表"
"Your form has been filled out, here are the answers:";"您的申请已经完成，这里的答案："
