Folders;Carpetas
"Add a page";"Agregar una página"
"Click on a page to add it to the folder <span id=""folder_name"" class=""folder_name"">""%s""</span>";"Haga clic en una página para agregarla a la carpeta <span id=""folder_name"" class=""folder_name"">""%s""</span>"
"Click on";"Clic en"
"to add a folder.";"para agregar una carpeta."
"to add a subfolder.";"añadir una subcarpeta."
"New folder";"Nueva carpeta"
"Delete this folder and all its subfolders?";"¿ Eliminar esta carpeta y todas las subcarpetas ?"
"You will lose all unsaved changes, continue?";"¿Perderá todos los cambios no guardados, desea continuar?"
"You must first complete the current category creation process";"Tiene que finalizar la creación de esta categoría primero"
Subtitle;Subtítulo
"Add a";"Añadir una"
"Mobile display";"Visualización móvil"
"Close mobile display";"Cerrar visualización móvil"
"Folder title is required";"Se requiere el título de la carpeta"
"You cannot add this feature";"No se puede agregar esta función"
