"%s point%s";"%s punti%s"
"A month";"Un mese"
"A week";"Una settimana"
"Challengers";"Sfidanti"
"Current game";"Gioco in corso"
"Currently no challengers";"Al momento non ci sfidanti"
"Game Name";"Nome del Gioco"
"Game successfully saved";"Gioco salvato correttamente"
"Next game";"Prossimo gioco"
"On the";"Nel"
"Period";"Periodo"
"Periodicity";"Periodicità"
"Publication date";"Data di pubblicazione"
"Rank of the month";"Classifica del mese"
"Rank of the week";"Classifica della settimana"
"Team Leader";"Team leader"
