"%d Unread Message";"%d Okunmamış mesaj";
"%d Unread Messages";"%d Okunmamış mesajlar";
"Account";"Hesap";
"Change the password";"Şifreyi değiştir";
"Click to mark as not read";"Okunmamış olarak işaretle";
"Click to mark as read";"Okunmuş olarak işaretle";
"Create a user";"Yeni kullanıcı oluştur";
"Edit the account ""%s""";"""%s"" hesabını düzenle";
"Edit the user";"Kullanıcı düzenle";
"Enter your credentials:";"Kimlik bilgilerinizi girin:";
"List of backoffice accounts";"Backofis kullanıcıları listesi";
"List of the messages";"Mesajlar listesi";
"Login to your backoffice interface";"Backofis arabirimine giriş";
"People who are allowed to access the backoffice";"Backofis kullanmasına izin verilenler";
"Siberian CMS";"Siberian CMS";
"This account can't be deleted, it's the only one";"Bu hesap silinemez";"Bu hesap silinemez"
"User successfully deleted";"Kullanıcı başarıyla silindi";
"View Details";"Ayrıntıları görüntüle";
"Your new password";"Yeni şifreniz";
"Your password";"Şifreniz";
