Add a link;Bir link ekle
An error occurred while saving your picto. Please try againg later.;Resminiz kaydedilirken bir hata oluştu. Daha sonra tekrar deneyiniz.
Are you sure you want to delete this link?;Bu bağlantıyı silmek istediğinizden emin misiniz?
Are you sure you want to delete this picture?;Bu resmi silmek istediğinizden emin misiniz?
Link;Link
Link has been successfully deleted;Bağlantı başarıyla silindi
Link has been successfully saved;Bağlantı başarıyla kaydedildi
Link:;Link:
Picto;Resim
The image has been successfully deleted;Görüntü başarıyla silindi
The image has been successfully saved;Görüntü başarıyla kaydedildi
Your links;Linkleriniz
