"%s by %s";"%s de %s"
"+ Add a track";"+ Afegir una pista"
"Add albums and tracks to the playlist:";"Afegir àlbums i pistes a la llista de reproducció:"
"Album";"Àlbum"
"Albums";"Àlbums"
"Albums:";"Àlbums:"
"An error occurred while deleting you images gallery. Please try again later.";"S'ha produït un error en suprimir vostè galeria d'imatges. Si us plau provar una altra vegada més tard."
"An error occurred while deleting your album. Thanks for trying later.";"S'ha produït un error en suprimir el teu àlbum. Gràcies per provar més tard."
"An error occurred while deleting your playlist. Thanks for trying later.";"S'ha produït un error en suprimir el seu playlist. Gràcies per provar més tard."
"An error occurred while deleting your track. Thanks for trying later.";"S'ha produït un error en suprimir la pista. Gràcies per provar més tard."
"An error occurred while loading pictures. Please try later.";"S'ha produït un error en carregar imatges. Si us plau provar més tard."
"An error occurred while loading videos. Please try later.";"S'ha produït un error en carregar vídeos. Si us plau provar més tard."
"An error occurred while saving your images gallery. Please try again later.";"S'ha produït un error mentre es desava la seva galeria d'imatges. Si us plau provar una altra vegada més tard."
"An error occurred while saving your playlist. Thanks for trying later.";"S'ha produït un error mentre es desava el seu playlist. Gràcies per provar més tard."
"An error occurred while saving your videos gallery. Please try again later.";"S'ha produït un error mentre es desava la seva galeria de vídeos. Si us plau provar una altra vegada més tard."
"Are you sure you don't want to create an album for these tracks?";"Esteu segur que no voleu crear un àlbum per a aquests temes?"
"Are you sure you don't want to create an album for this track?";"Esteu segur que no voleu crear un àlbum per aquest circuit?"
"Are you sure you want to delete this album (this won't delete tracks)?";"Esteu segur que voleu suprimir aquest àlbum (això no suprimeix pistes)?"
"Are you sure you want to delete this album?";"Esteu segur que voleu suprimir aquest àlbum?"
"Are you sure you want to delete this playlist?";"Esteu segur que voleu suprimir aquesta llista de reproducció?"
"Are you sure you want to delete this track?";"Esteu segur que voleu suprimir aquesta pista?"
"Artist";"Artista"
"Artist:";"Artista:"
"Audio";"Àudio"
"Channel";"Canal"
"Choose an album";"Triar un àlbum"
"Custom";"Costum"
"Delete this gallery?";"Voleu suprimir aquesta galeria?"
"Feed URL";"URL de menjar"
"Feed URL <span class=""required-entry"">*</span> :";"URL <span class=""required-entry""> *</span> de menjar:"
"Gallery Name";"Nom de la galeria"
"Gallery Name <span class=""required-entry"">*</span> :";"Nom de la galeria <span class=""required-entry""> *</span>:"
"Group";"Grup"
"I'm listening to";"Estic escoltant"
"Images gallery has been saved successfully";"Galeria d'imatges s'ha desat correctament"
"Instagram";"Instagram"
"Last update:";"Última actualització:"
"Maximum size : 2000*2000 px - Allowed filetypes : jpg and png";"Mida màxima: 2000 * 2000 px - permès filetypes: jpg i png"
"My pictures";"Meus quadres"
"No album found";"Cap àlbum trobat"
"No artist found";"Cap artista trobat"
"No track found";"Cap pista trobades"
"PLAYER";"Player"
"Parameter";"Paràmetre"
"Parameter/Feed Url";"Alimentació/paràmetre Url"
"Picasa";"Picasa"
"Picture%s";"Imatge %s"
"Playlist";"Llista de reproducció"
"Playlist successfully saved.";"Playlist salvat correctament."
"Playlist title:";"Títol de la llista de reproducció:"
"Playlists";"Llistes de reproducció"
"Podcast";"Podcast"
"Podcast URL (iTunes format)";"Podcast URL (format de iTunes)"
"Read all";"Llegir tots"
"Required field";"els Camp obligatori"
"Search/Url";"Cerca/Url"
"The entered name is not a valid Instagram user.";"El nom introduït no és un usuari d'Instagram vàlid."
"This element is not an album.";"Aquest element no és un àlbum."
"Track";"Pista"
"Tracks";"Pistes"
"Type";"Tipus"
"URL (.mp3):";"URL (. mp3):"
"Videos gallery has been saved successfully";"Galeria de vídeos s'ha desat correctament"
"Vimeo";"Vimeo"
"buy";"comprar"
"close";"tancar"
"empty";"Buit"
"from";"des de"
"hide";"amagar"
"loop";"bucle"
"music";"música"
"next";"següent"
"on";"en"
"pause";"pausa"
"play";"Play"
"previous";"anterior"
"share";"compartir"
"shuffle";"remenar"
"track";"pista"
"tracks";"pistes"
