"Booking details";"Rezervační údaje"
"Booking details:";"Rezervační údaje:"
"Booking subject:";"Předmět rezervace:"
Comment:;Komentář:
"Date and time";"Datum a čas"
"Date and time:";"Datum a čas:"
"Email address:";"E-mailová adresa:"
"Enter the location name and contact email:";"Zadejte název provozovny a kontaktní e-mail"
"First name / Last name";"Jméno, Příjmení"
"Here are his personal information:";"Osobní údaje:"
Name:;Jméno:
"Nom du lieu :";"Název provozovny"
"People number:";"Počet osob"
"Phone number:";"Telefonní číslo:"
"Please fill out the following fields: ";"Vyplňte prosím následující položky:"
"Please fill out the following fields:<br />";"Vyplňte prosím následující položky:<br/>"
"Please, choose a store";"Prosím, vyberte si obchod"
"Thank you for your request. We'll answer you as soon as possible.";"Děkujeme za Vaši žádost. Budeme Vás kontaktovat co nejdříve."
"The booking information";"Informace o rezervaci"
"The booking informations";"Informace o rezervaci"
"The date and time of the booking";"Datum a čas rezervace"
"The number of people";"Počet osob"
"You have received a message for the booking of";"Obdrželi jste zprávu pro rezervaci od "
"Your phone number or email address";"Vaše telefonní číslo nebo e-mail"
"﻿Booking details";"Rezervační údaje"
