".mp4 or .3gp format";"format .3gp .mp4"
"Add ";Afegir
"Add sections:";"Afegir seccions:"
Address:;direcció:
Alignment:;alineació:
"An error occurred while saving your page.";"S'ha produït un error en desar la pàgina."
"Are you sure you want to delete this page?";"Segur que vols esborrar aquesta pàgina?"
"Display address";"direcció de pantalla"
"Display location button";"Display botó de la localització"
Label;etiqueta
Label:;etiqueta:
Large;gran
"Loading picture:";"Carregant imatge:"
"Make a search or enter the Youtube Url:";"Fer una recerca o introduïu l'URL de YouTube:"
Medium;medi
"My Youtube video:";"El meu Youtube vídeo:"
"My video";"El meu vídeo"
"No videos matching your selection";"No hi ha vídeos que coincideixin amb la seva selecció"
"Page successfully deleted";"Pàgina eliminat correctament"
"Page successfully saved";"Pàgina guardat correctament"
"Podcast URL:";"URL Podcast:"
"Select a button type:";"Seleccioneu un tipus de botó:"
"Select a video type:";"Seleccioneu un tipus de vídeo:"
Small;petit
"Video URL:";"URL de vídeo:"
"Your Podcast:";"El seu Podcast:"
