"1. Download the app previewer:";"1. Descarrega l'aplicació de vista prèvia:"
"2. Open the app and login";"2. Obre l'aplicació i entrada"
"<b>File type:</b> %s";"<B> Tipus d'arxiu: </ b>% s"
"<span>Click on</span><button class=""add"" type=""button""><i class=""icon-plus""></i></button> <span>to add an item.</span>";"<Span> Feu clic a </ span> <botó class = tipus ""botó"" = ""add""> <i class = ""icon-plus""> </ i> </ button> <span> per afegir un element. </ span>"
Activated;Activat
"Add a new icon";"Afegeix una nova icona"
"Add pages";"Afegir pàgines"
"Additional options";"Opcions addicionals"
"An error occured while copying your app icon. Please check the icon, try to send it again and try again.";"S'ha produït un error en copiar la icona de l'aplicació. Si us plau, comproveu la icona, proveu d'enviar de nou i torna a intentar-ho."
"An error occurred during the generation of your QRCode. Please try again later.";"S'ha produït un error durant la generació del seu Codi QR. Intenta-ho de nou més tard."
"An error occurred while adding the option";"S'ha produït un error en afegir l'opció"
"An error occurred while changing your layout.";"S'ha produït un error en canviar el seu disseny."
"An error occurred while deleting the option";"S'ha produït un error en eliminar l'opció"
"An error occurred while deleting your picture";"S'ha produït un error en suprimir la seva imatge"
"An error occurred while editing file (%s).";"S'ha produït un error en editar el fitxer (% s)."
"An error occurred while loading";"S'ha produït un error durant la càrrega"
"An error occurred while saving the application. Please try again later.";"S'ha produït un error en desar la aplicació. Intenta-ho de nou més tard."
"An error occurred while saving your colors.";"S'ha produït un error en desar els seus colors."
"An error occurred while saving your page name.";"S'ha produït un error en desar la vostra nom de la pàgina."
"An error occurred while saving. The selected icon is not valid.";"S'ha produït un error en desar. La icona seleccionat no és vàlid."
"An error occurred while sorting your pages. Please try again later.";"S'ha produït un error en ordenar a les seves pàgines. Intenta-ho de nou més tard."
Analytics;Analítica
"Android APK Generation";"Android APK Generació"
"Android Version";"Versió Android"
"App Store Icon";"App Store Icona"
"Apple's Information";"Informació d'Apple"
"Application name";"Nom de l'aplicació"
"Are you sure you want to remove this application?";"Segur que vols eliminar aquesta aplicació?"
"At least 200 characters in the description";"Almenys 200 caràcters en la descripció"
"At least, 4 pages in the application";"Si més no, 4 pàgines de l'aplicació"
Audio;Àudio
"Average by customer";"Mitjana per client"
Book;Book
"Bundle Id";"Bundle Aneu"
Business;Negocis
"Buy one, get one!";"Compri un, aconseguir un!"
Catalogs;Catàlegs
Certificate;Certificat
